2023-06-19 20:49:34,775 INFO  - Initialize application (at simulation time 2.000,000,000 s)
2023-06-19 20:49:34,778 INFO  - Activated WLAN Module (at simulation time 2.000,000,000 s)
2023-06-19 20:49:34,856 INFO  - VEHICLE:veh_1 (at simulation time 8.039,755,176 s)
2023-06-19 20:49:34,857 INFO  - GEOLOCATION:GeoPoint{lat=52.512180,lon=13.318695,alt=0.00} (at simulation time 8.039,755,176 s)
2023-06-19 20:49:34,857 INFO  - VEHICLE:veh_1 (at simulation time 8.049,895,933 s)
2023-06-19 20:49:34,857 INFO  - GEOLOCATION:GeoPoint{lat=52.512265,lon=13.318695,alt=0.00} (at simulation time 8.049,895,933 s)
2023-06-19 20:49:34,858 INFO  - VEHICLE:veh_1 (at simulation time 8.085,079,185 s)
2023-06-19 20:49:34,858 INFO  - GEOLOCATION:GeoPoint{lat=52.512264,lon=13.318695,alt=0.00} (at simulation time 8.085,079,185 s)
2023-06-19 20:49:34,859 INFO  - VEHICLE:veh_1 (at simulation time 8.096,839,774 s)
2023-06-19 20:49:34,859 INFO  - GEOLOCATION:GeoPoint{lat=52.512304,lon=13.319503,alt=0.00} (at simulation time 8.096,839,774 s)
2023-06-19 20:49:34,861 INFO  - VEHICLE:veh_1 (at simulation time 8.160,504,362 s)
2023-06-19 20:49:34,861 INFO  - GEOLOCATION:GeoPoint{lat=52.512208,lon=13.318695,alt=0.00} (at simulation time 8.160,504,362 s)
2023-06-19 20:49:34,862 INFO  - VEHICLE:veh_1 (at simulation time 8.165,593,895 s)
2023-06-19 20:49:34,862 INFO  - GEOLOCATION:GeoPoint{lat=52.512250,lon=13.319215,alt=0.00} (at simulation time 8.165,593,895 s)
2023-06-19 20:49:34,863 INFO  - VEHICLE:veh_1 (at simulation time 8.192,464,778 s)
2023-06-19 20:49:34,863 INFO  - GEOLOCATION:GeoPoint{lat=52.512236,lon=13.318695,alt=0.00} (at simulation time 8.192,464,778 s)
2023-06-19 20:49:34,863 INFO  - VEHICLE:veh_1 (at simulation time 8.193,768,906 s)
2023-06-19 20:49:34,863 INFO  - GEOLOCATION:GeoPoint{lat=52.512264,lon=13.318695,alt=0.00} (at simulation time 8.193,768,906 s)
2023-06-19 20:49:34,866 INFO  - VEHICLE:veh_1 (at simulation time 8.243,433,213 s)
2023-06-19 20:49:34,866 INFO  - GEOLOCATION:GeoPoint{lat=52.512200,lon=13.318695,alt=0.00} (at simulation time 8.243,433,213 s)
2023-06-19 20:49:34,866 INFO  - VEHICLE:veh_1 (at simulation time 8.282,152,250 s)
2023-06-19 20:49:34,866 INFO  - GEOLOCATION:GeoPoint{lat=52.512245,lon=13.318695,alt=0.00} (at simulation time 8.282,152,250 s)
2023-06-19 20:49:34,867 INFO  - VEHICLE:veh_1 (at simulation time 8.326,686,563 s)
2023-06-19 20:49:34,867 INFO  - GEOLOCATION:GeoPoint{lat=52.512301,lon=13.318886,alt=0.00} (at simulation time 8.326,686,563 s)
2023-06-19 20:49:34,868 INFO  - VEHICLE:veh_1 (at simulation time 8.341,231,482 s)
2023-06-19 20:49:34,868 INFO  - GEOLOCATION:GeoPoint{lat=52.512264,lon=13.318695,alt=0.00} (at simulation time 8.341,231,482 s)
2023-06-19 20:49:34,871 INFO  - VEHICLE:veh_1 (at simulation time 8.359,465,345 s)
2023-06-19 20:49:34,871 INFO  - GEOLOCATION:GeoPoint{lat=52.512284,lon=13.319250,alt=0.00} (at simulation time 8.359,465,345 s)
2023-06-19 20:49:34,872 INFO  - VEHICLE:veh_1 (at simulation time 8.409,263,661 s)
2023-06-19 20:49:34,872 INFO  - GEOLOCATION:GeoPoint{lat=52.512264,lon=13.318695,alt=0.00} (at simulation time 8.409,263,661 s)
2023-06-19 20:49:34,872 INFO  - VEHICLE:veh_1 (at simulation time 8.423,293,954 s)
2023-06-19 20:49:34,873 INFO  - GEOLOCATION:GeoPoint{lat=52.512194,lon=13.318695,alt=0.00} (at simulation time 8.423,293,954 s)
2023-06-19 20:49:34,873 INFO  - VEHICLE:veh_1 (at simulation time 8.434,940,275 s)
2023-06-19 20:49:34,873 INFO  - GEOLOCATION:GeoPoint{lat=52.512250,lon=13.318695,alt=0.00} (at simulation time 8.434,940,275 s)
2023-06-19 20:49:34,878 INFO  - VEHICLE:veh_1 (at simulation time 8.523,004,907 s)
2023-06-19 20:49:34,878 INFO  - GEOLOCATION:GeoPoint{lat=52.512235,lon=13.318695,alt=0.00} (at simulation time 8.523,004,907 s)
2023-06-19 20:49:34,878 INFO  - VEHICLE:veh_1 (at simulation time 8.528,612,779 s)
2023-06-19 20:49:34,879 INFO  - GEOLOCATION:GeoPoint{lat=52.512238,lon=13.318695,alt=0.00} (at simulation time 8.528,612,779 s)
2023-06-19 20:49:34,879 INFO  - VEHICLE:veh_1 (at simulation time 8.534,314,439 s)
2023-06-19 20:49:34,879 INFO  - GEOLOCATION:GeoPoint{lat=52.512272,lon=13.319519,alt=0.00} (at simulation time 8.534,314,439 s)
2023-06-19 20:49:34,880 INFO  - VEHICLE:veh_1 (at simulation time 8.558,583,419 s)
2023-06-19 20:49:34,880 INFO  - GEOLOCATION:GeoPoint{lat=52.512264,lon=13.318695,alt=0.00} (at simulation time 8.558,583,419 s)
2023-06-19 20:49:34,881 INFO  - VEHICLE:veh_1 (at simulation time 8.562,502,882 s)
2023-06-19 20:49:34,881 INFO  - GEOLOCATION:GeoPoint{lat=52.512207,lon=13.318695,alt=0.00} (at simulation time 8.562,502,882 s)
2023-06-19 20:49:34,881 INFO  - VEHICLE:veh_1 (at simulation time 8.567,834,809 s)
