2023-06-19 20:49:34,848 INFO  - Initialize application (at simulation time 8.000,000,000 s)
2023-06-19 20:49:34,850 INFO  - Activated WLAN Module (at simulation time 8.000,000,000 s)
2023-06-19 20:49:34,854 INFO  - VEHICLE:veh_0 (at simulation time 8.012,060,577 s)
2023-06-19 20:49:34,854 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.012,060,577 s)
2023-06-19 20:49:34,855 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.012,060,577 s)
2023-06-19 20:49:34,855 INFO  - FORGED RANDOM EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512304,lon=13.319503,alt=0.00} (at simulation time 8.012,060,577 s)
2023-06-19 20:49:34,855 INFO  - FORGED RANDOM GEOLOCATION UPPER: GeoPoint{lat=52.512265,lon=13.318695,alt=0.00} (at simulation time 8.012,060,577 s)
2023-06-19 20:49:34,855 INFO  - FORGED RANDOM GEOLOCATION LOWER: GeoPoint{lat=52.512180,lon=13.318695,alt=0.00} (at simulation time 8.012,060,577 s)
2023-06-19 20:49:34,855 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512264,lon=13.318695,alt=0.00} (at simulation time 8.012,060,577 s)
2023-06-19 20:49:34,860 INFO  - VEHICLE:veh_0 (at simulation time 8.159,484,777 s)
2023-06-19 20:49:34,860 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.159,484,777 s)
2023-06-19 20:49:34,860 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.159,484,777 s)
2023-06-19 20:49:34,860 INFO  - FORGED RANDOM EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512250,lon=13.319215,alt=0.00} (at simulation time 8.159,484,777 s)
2023-06-19 20:49:34,860 INFO  - FORGED RANDOM GEOLOCATION UPPER: GeoPoint{lat=52.512236,lon=13.318695,alt=0.00} (at simulation time 8.159,484,777 s)
2023-06-19 20:49:34,860 INFO  - FORGED RANDOM GEOLOCATION LOWER: GeoPoint{lat=52.512208,lon=13.318695,alt=0.00} (at simulation time 8.159,484,777 s)
2023-06-19 20:49:34,860 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512264,lon=13.318695,alt=0.00} (at simulation time 8.159,484,777 s)
2023-06-19 20:49:34,864 INFO  - VEHICLE:veh_0 (at simulation time 8.241,974,396 s)
2023-06-19 20:49:34,864 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.241,974,396 s)
2023-06-19 20:49:34,864 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.241,974,396 s)
2023-06-19 20:49:34,864 INFO  - FORGED RANDOM EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512301,lon=13.318886,alt=0.00} (at simulation time 8.241,974,396 s)
2023-06-19 20:49:34,865 INFO  - FORGED RANDOM GEOLOCATION UPPER: GeoPoint{lat=52.512245,lon=13.318695,alt=0.00} (at simulation time 8.241,974,396 s)
2023-06-19 20:49:34,865 INFO  - FORGED RANDOM GEOLOCATION LOWER: GeoPoint{lat=52.512200,lon=13.318695,alt=0.00} (at simulation time 8.241,974,396 s)
2023-06-19 20:49:34,865 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512264,lon=13.318695,alt=0.00} (at simulation time 8.241,974,396 s)
2023-06-19 20:49:34,869 INFO  - VEHICLE:veh_0 (at simulation time 8.348,591,639 s)
2023-06-19 20:49:34,869 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.348,591,639 s)
2023-06-19 20:49:34,869 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.348,591,639 s)
2023-06-19 20:49:34,869 INFO  - FORGED RANDOM EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512284,lon=13.319250,alt=0.00} (at simulation time 8.348,591,639 s)
2023-06-19 20:49:34,869 INFO  - FORGED RANDOM GEOLOCATION UPPER: GeoPoint{lat=52.512250,lon=13.318695,alt=0.00} (at simulation time 8.348,591,639 s)
2023-06-19 20:49:34,869 INFO  - FORGED RANDOM GEOLOCATION LOWER: GeoPoint{lat=52.512194,lon=13.318695,alt=0.00} (at simulation time 8.348,591,639 s)
