2023-07-08 13:15:42,798 INFO  SnsAmbassador - Init simulation with startTime=0, endTime=140000000000
2023-07-08 13:15:42,812 INFO  SnsAmbassador - Initialized SNS
2023-07-08 13:15:43,980 INFO  SnsAmbassador - Added Vehicle id=veh_0 position=GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} @time=2.000,000,000 s
2023-07-08 13:15:43,980 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 50.0 for node id=veh_0 @time=2.000,000,000 s
2023-07-08 13:15:44,005 INFO  SnsAmbassador - Added Vehicle id=veh_1 position=GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} @time=8.000,000,000 s
2023-07-08 13:15:44,005 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 50.0 for node id=veh_1 @time=8.000,000,000 s
2023-07-08 13:15:44,080 WARN  SnsAmbassador - Received unknown interaction=VehicleRegistration @time=59.000,900,000 s
2023-07-08 13:15:44,080 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 50.0 for node id=veh_2 @time=0.000,000,000 s
2023-07-08 13:15:44,081 WARN  SnsAmbassador - Received unknown interaction=VehicleRegistration @time=59.000,900,000 s
2023-07-08 13:15:44,081 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 50.0 for node id=veh_3 @time=0.000,000,000 s
2023-07-08 13:15:44,081 WARN  SnsAmbassador - Received unknown interaction=VehicleRegistration @time=59.000,900,000 s
2023-07-08 13:15:44,081 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 50.0 for node id=veh_4 @time=0.000,000,000 s
2023-07-08 13:15:44,082 WARN  SnsAmbassador - Received unknown interaction=VehicleRegistration @time=59.000,900,000 s
2023-07-08 13:15:44,082 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 50.0 for node id=veh_5 @time=0.000,000,000 s
2023-07-08 13:15:44,087 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 50.0 for node id=veh_2 @time=59.000,900,000 s
2023-07-08 13:15:44,087 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 50.0 for node id=veh_3 @time=59.000,900,000 s
2023-07-08 13:15:44,087 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 50.0 for node id=veh_4 @time=59.000,900,000 s
2023-07-08 13:15:44,087 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 50.0 for node id=veh_5 @time=59.000,900,000 s
2023-07-08 13:15:44,089 WARN  SnsAmbassador - Received unknown interaction=VehicleRegistration @time=59.102,400,000 s
2023-07-08 13:15:44,089 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 50.0 for node id=veh_6 @time=0.000,000,000 s
2023-07-08 13:15:44,091 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 50.0 for node id=veh_6 @time=59.102,400,000 s
2023-07-08 13:15:44,470 INFO  SnsAmbassador - Removed Node id=veh_4 @time=140.000,000,000 s
2023-07-08 13:15:44,470 INFO  SnsAmbassador - Removed Node id=veh_5 @time=140.000,000,000 s
2023-07-08 13:15:44,470 INFO  SnsAmbassador - Removed Node id=veh_2 @time=140.000,000,000 s
2023-07-08 13:15:44,470 INFO  SnsAmbassador - Removed Node id=veh_3 @time=140.000,000,000 s
2023-07-08 13:15:44,470 INFO  SnsAmbassador - Removed Node id=veh_0 @time=140.000,000,000 s
2023-07-08 13:15:44,470 INFO  SnsAmbassador - Removed Node id=veh_1 @time=140.000,000,000 s
2023-07-08 13:15:44,470 INFO  SnsAmbassador - Removed Node id=veh_6 @time=140.000,000,000 s
2023-07-08 13:15:44,488 INFO  SnsAmbassador - Finished simulation
