2023-07-08 13:15:43,975 INFO  - Initialize application (at simulation time 2.000,000,000 s)
2023-07-08 13:15:43,978 INFO  - Activated WLAN Module (at simulation time 2.000,000,000 s)
2023-07-08 13:15:44,087 INFO  - VEHICLE:veh_4 (at simulation time 59.001,300,000 s)
2023-07-08 13:15:44,088 INFO  - GEOLOCATION:GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.001,300,000 s)
2023-07-08 13:15:44,088 INFO  - VEHICLE:veh_5 (at simulation time 59.001,300,000 s)
2023-07-08 13:15:44,088 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.001,300,000 s)
2023-07-08 13:15:44,088 INFO  - VEHICLE:veh_3 (at simulation time 59.002,300,000 s)
2023-07-08 13:15:44,088 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.002,300,000 s)
2023-07-08 13:15:44,088 INFO  - VEHICLE:veh_2 (at simulation time 59.002,800,000 s)
2023-07-08 13:15:44,088 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.002,800,000 s)
2023-07-08 13:15:44,091 INFO  - VEHICLE:veh_5 (at simulation time 59.102,800,000 s)
2023-07-08 13:15:44,091 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.102,800,000 s)
2023-07-08 13:15:44,091 INFO  - VEHICLE:veh_6 (at simulation time 59.103,300,000 s)
2023-07-08 13:15:44,091 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.103,300,000 s)
2023-07-08 13:15:44,091 INFO  - VEHICLE:veh_6 (at simulation time 59.104,300,000 s)
2023-07-08 13:15:44,091 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.104,300,000 s)
2023-07-08 13:15:44,091 INFO  - VEHICLE:veh_4 (at simulation time 59.104,800,000 s)
2023-07-08 13:15:44,091 INFO  - GEOLOCATION:GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.104,800,000 s)
2023-07-08 13:15:44,092 INFO  - VEHICLE:veh_2 (at simulation time 59.203,300,000 s)
2023-07-08 13:15:44,092 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.203,300,000 s)
2023-07-08 13:15:44,092 INFO  - VEHICLE:veh_6 (at simulation time 59.203,300,000 s)
2023-07-08 13:15:44,092 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.203,300,000 s)
2023-07-08 13:15:44,092 INFO  - VEHICLE:veh_4 (at simulation time 59.204,300,000 s)
2023-07-08 13:15:44,092 INFO  - GEOLOCATION:GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.204,300,000 s)
2023-07-08 13:15:44,092 INFO  - VEHICLE:veh_5 (at simulation time 59.204,300,000 s)
2023-07-08 13:15:44,092 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.204,300,000 s)
2023-07-08 13:15:44,093 INFO  - VEHICLE:veh_6 (at simulation time 59.301,300,000 s)
2023-07-08 13:15:44,093 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.301,300,000 s)
2023-07-08 13:15:44,093 INFO  - VEHICLE:veh_3 (at simulation time 59.301,300,000 s)
2023-07-08 13:15:44,093 INFO  - GEOLOCATION:GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.301,300,000 s)
2023-07-08 13:15:44,093 INFO  - VEHICLE:veh_2 (at simulation time 59.302,300,000 s)
2023-07-08 13:15:44,093 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.302,300,000 s)
2023-07-08 13:15:44,094 INFO  - VEHICLE:veh_3 (at simulation time 59.302,800,000 s)
2023-07-08 13:15:44,094 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.302,800,000 s)
2023-07-08 13:15:44,094 INFO  - VEHICLE:veh_5 (at simulation time 59.401,300,000 s)
2023-07-08 13:15:44,094 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.401,300,000 s)
2023-07-08 13:15:44,094 INFO  - VEHICLE:veh_2 (at simulation time 59.401,800,000 s)
2023-07-08 13:15:44,094 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.401,800,000 s)
2023-07-08 13:15:44,094 INFO  - VEHICLE:veh_3 (at simulation time 59.402,800,000 s)
2023-07-08 13:15:44,095 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.402,800,000 s)
2023-07-08 13:15:44,095 INFO  - VEHICLE:veh_3 (at simulation time 59.402,800,000 s)
2023-07-08 13:15:44,095 INFO  - GEOLOCATION:GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.402,800,000 s)
2023-07-08 13:15:44,095 INFO  - VEHICLE:veh_6 (at simulation time 59.501,800,000 s)
2023-07-08 13:15:44,095 INFO  - GEOLOCATION:GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.501,800,000 s)
