2023-06-19 20:48:16,050 INFO  - Initialize application (at simulation time 8.000,000,000 s)
2023-06-19 20:48:16,052 INFO  - Activated WLAN Module (at simulation time 8.000,000,000 s)
2023-06-19 20:48:16,058 INFO  - VEHICLE:veh_0 (at simulation time 8.012,060,577 s)
2023-06-19 20:48:16,058 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.012,060,577 s)
2023-06-19 20:48:16,058 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.012,060,577 s)
2023-06-19 20:48:16,058 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512307,lon=13.319706,alt=0.00} (at simulation time 8.012,060,577 s)
2023-06-19 20:48:16,059 INFO  - FORGED GEOLOCATION UPPER: GeoPoint{lat=52.512307,lon=13.318695,alt=0.00} (at simulation time 8.012,060,577 s)
2023-06-19 20:48:16,059 INFO  - FORGED GEOLOCATION LOWER: GeoPoint{lat=52.512138,lon=13.318695,alt=0.00} (at simulation time 8.012,060,577 s)
2023-06-19 20:48:16,059 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512264,lon=13.318695,alt=0.00} (at simulation time 8.012,060,577 s)
2023-06-19 20:48:16,067 INFO  - VEHICLE:veh_0 (at simulation time 8.159,484,777 s)
2023-06-19 20:48:16,067 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.159,484,777 s)
2023-06-19 20:48:16,067 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.159,484,777 s)
2023-06-19 20:48:16,067 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512307,lon=13.319706,alt=0.00} (at simulation time 8.159,484,777 s)
2023-06-19 20:48:16,067 INFO  - FORGED GEOLOCATION UPPER: GeoPoint{lat=52.512307,lon=13.318695,alt=0.00} (at simulation time 8.159,484,777 s)
2023-06-19 20:48:16,067 INFO  - FORGED GEOLOCATION LOWER: GeoPoint{lat=52.512138,lon=13.318695,alt=0.00} (at simulation time 8.159,484,777 s)
2023-06-19 20:48:16,067 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512264,lon=13.318695,alt=0.00} (at simulation time 8.159,484,777 s)
2023-06-19 20:48:16,076 INFO  - VEHICLE:veh_0 (at simulation time 8.241,974,396 s)
2023-06-19 20:48:16,076 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.241,974,396 s)
2023-06-19 20:48:16,076 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.241,974,396 s)
2023-06-19 20:48:16,076 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512307,lon=13.319706,alt=0.00} (at simulation time 8.241,974,396 s)
2023-06-19 20:48:16,076 INFO  - FORGED GEOLOCATION UPPER: GeoPoint{lat=52.512307,lon=13.318695,alt=0.00} (at simulation time 8.241,974,396 s)
2023-06-19 20:48:16,076 INFO  - FORGED GEOLOCATION LOWER: GeoPoint{lat=52.512138,lon=13.318695,alt=0.00} (at simulation time 8.241,974,396 s)
2023-06-19 20:48:16,076 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512264,lon=13.318695,alt=0.00} (at simulation time 8.241,974,396 s)
2023-06-19 20:48:16,080 INFO  - VEHICLE:veh_0 (at simulation time 8.348,591,639 s)
2023-06-19 20:48:16,080 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.348,591,639 s)
2023-06-19 20:48:16,081 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.348,591,639 s)
2023-06-19 20:48:16,081 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512307,lon=13.319706,alt=0.00} (at simulation time 8.348,591,639 s)
2023-06-19 20:48:16,081 INFO  - FORGED GEOLOCATION UPPER: GeoPoint{lat=52.512307,lon=13.318695,alt=0.00} (at simulation time 8.348,591,639 s)
2023-06-19 20:48:16,081 INFO  - FORGED GEOLOCATION LOWER: GeoPoint{lat=52.512138,lon=13.318695,alt=0.00} (at simulation time 8.348,591,639 s)
2023-06-19 20:48:16,081 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512264,lon=13.318695,alt=0.00} (at simulation time 8.348,591,639 s)
2023-06-19 20:48:16,086 INFO  - VEHICLE:veh_0 (at simulation time 8.477,529,359 s)
