2023-07-08 13:17:30,411 INFO  - Initialize application (at simulation time 2.000,000,000 s)
2023-07-08 13:17:30,414 INFO  - Activated WLAN Module (at simulation time 2.000,000,000 s)
2023-07-08 13:17:30,551 INFO  - VEHICLE:veh_4 (at simulation time 59.001,300,000 s)
2023-07-08 13:17:30,551 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327197,alt=0.00} (at simulation time 59.001,300,000 s)
2023-07-08 13:17:30,551 INFO  - VEHICLE:veh_5 (at simulation time 59.001,300,000 s)
2023-07-08 13:17:30,551 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.001,300,000 s)
2023-07-08 13:17:30,551 INFO  - VEHICLE:veh_3 (at simulation time 59.002,300,000 s)
2023-07-08 13:17:30,551 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327197,alt=0.00} (at simulation time 59.002,300,000 s)
2023-07-08 13:17:30,551 INFO  - VEHICLE:veh_2 (at simulation time 59.002,800,000 s)
2023-07-08 13:17:30,551 INFO  - GEOLOCATION:GeoPoint{lat=52.512821,lon=13.327635,alt=0.00} (at simulation time 59.002,800,000 s)
2023-07-08 13:17:30,554 INFO  - VEHICLE:veh_3 (at simulation time 59.102,800,000 s)
2023-07-08 13:17:30,554 INFO  - GEOLOCATION:GeoPoint{lat=52.512805,lon=13.327197,alt=0.00} (at simulation time 59.102,800,000 s)
2023-07-08 13:17:30,554 INFO  - VEHICLE:veh_6 (at simulation time 59.103,300,000 s)
2023-07-08 13:17:30,554 INFO  - GEOLOCATION:GeoPoint{lat=52.512811,lon=13.327502,alt=0.00} (at simulation time 59.103,300,000 s)
2023-07-08 13:17:30,554 INFO  - VEHICLE:veh_3 (at simulation time 59.103,800,000 s)
2023-07-08 13:17:30,554 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.103,800,000 s)
2023-07-08 13:17:30,554 INFO  - VEHICLE:veh_5 (at simulation time 59.104,800,000 s)
2023-07-08 13:17:30,554 INFO  - GEOLOCATION:GeoPoint{lat=52.512768,lon=13.327197,alt=0.00} (at simulation time 59.104,800,000 s)
2023-07-08 13:17:30,555 INFO  - VEHICLE:veh_6 (at simulation time 59.202,300,000 s)
2023-07-08 13:17:30,555 INFO  - GEOLOCATION:GeoPoint{lat=52.512785,lon=13.327197,alt=0.00} (at simulation time 59.202,300,000 s)
2023-07-08 13:17:30,555 INFO  - VEHICLE:veh_5 (at simulation time 59.202,800,000 s)
2023-07-08 13:17:30,555 INFO  - GEOLOCATION:GeoPoint{lat=52.512789,lon=13.327197,alt=0.00} (at simulation time 59.202,800,000 s)
2023-07-08 13:17:30,555 INFO  - VEHICLE:veh_3 (at simulation time 59.203,300,000 s)
2023-07-08 13:17:30,555 INFO  - GEOLOCATION:GeoPoint{lat=52.512793,lon=13.327719,alt=0.00} (at simulation time 59.203,300,000 s)
2023-07-08 13:17:30,555 INFO  - VEHICLE:veh_6 (at simulation time 59.203,800,000 s)
2023-07-08 13:17:30,555 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.203,800,000 s)
2023-07-08 13:17:30,556 INFO  - VEHICLE:veh_6 (at simulation time 59.301,300,000 s)
2023-07-08 13:17:30,556 INFO  - GEOLOCATION:GeoPoint{lat=52.512807,lon=13.327630,alt=0.00} (at simulation time 59.301,300,000 s)
2023-07-08 13:17:30,556 INFO  - VEHICLE:veh_5 (at simulation time 59.301,300,000 s)
2023-07-08 13:17:30,556 INFO  - GEOLOCATION:GeoPoint{lat=52.512767,lon=13.327197,alt=0.00} (at simulation time 59.301,300,000 s)
2023-07-08 13:17:30,556 INFO  - VEHICLE:veh_5 (at simulation time 59.302,300,000 s)
2023-07-08 13:17:30,556 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.302,300,000 s)
2023-07-08 13:17:30,556 INFO  - VEHICLE:veh_2 (at simulation time 59.302,800,000 s)
2023-07-08 13:17:30,556 INFO  - GEOLOCATION:GeoPoint{lat=52.512807,lon=13.327197,alt=0.00} (at simulation time 59.302,800,000 s)
2023-07-08 13:17:30,557 INFO  - VEHICLE:veh_6 (at simulation time 59.401,800,000 s)
2023-07-08 13:17:30,557 INFO  - GEOLOCATION:GeoPoint{lat=52.512819,lon=13.327071,alt=0.00} (at simulation time 59.401,800,000 s)
2023-07-08 13:17:30,557 INFO  - VEHICLE:veh_6 (at simulation time 59.401,800,000 s)
2023-07-08 13:17:30,557 INFO  - GEOLOCATION:GeoPoint{lat=52.512830,lon=13.327197,alt=0.00} (at simulation time 59.401,800,000 s)
2023-07-08 13:17:30,557 INFO  - VEHICLE:veh_6 (at simulation time 59.402,300,000 s)
2023-07-08 13:17:30,557 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.402,300,000 s)
2023-07-08 13:17:30,558 INFO  - VEHICLE:veh_5 (at simulation time 59.402,800,000 s)
2023-07-08 13:17:30,558 INFO  - GEOLOCATION:GeoPoint{lat=52.512743,lon=13.327197,alt=0.00} (at simulation time 59.402,800,000 s)
2023-07-08 13:17:30,558 INFO  - VEHICLE:veh_4 (at simulation time 59.501,300,000 s)
2023-07-08 13:17:30,558 INFO  - GEOLOCATION:GeoPoint{lat=52.512745,lon=13.327197,alt=0.00} (at simulation time 59.501,300,000 s)
2023-07-08 13:17:30,558 INFO  - VEHICLE:veh_6 (at simulation time 59.501,300,000 s)
2023-07-08 13:17:30,559 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.501,300,000 s)
2023-07-08 13:17:30,559 INFO  - VEHICLE:veh_3 (at simulation time 59.502,800,000 s)
2023-07-08 13:17:30,559 INFO  - GEOLOCATION:GeoPoint{lat=52.512795,lon=13.327192,alt=0.00} (at simulation time 59.502,800,000 s)
2023-07-08 13:17:30,559 INFO  - VEHICLE:veh_5 (at simulation time 59.503,300,000 s)
2023-07-08 13:17:30,559 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.503,300,000 s)
2023-07-08 13:17:30,560 INFO  - VEHICLE:veh_4 (at simulation time 59.600,800,000 s)
2023-07-08 13:17:30,560 INFO  - GEOLOCATION:GeoPoint{lat=52.512795,lon=13.327197,alt=0.00} (at simulation time 59.600,800,000 s)
2023-07-08 13:17:30,560 INFO  - VEHICLE:veh_5 (at simulation time 59.600,800,000 s)
2023-07-08 13:17:30,560 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.600,800,000 s)
2023-07-08 13:17:30,560 INFO  - VEHICLE:veh_2 (at simulation time 59.602,300,000 s)
2023-07-08 13:17:30,560 INFO  - GEOLOCATION:GeoPoint{lat=52.512795,lon=13.327657,alt=0.00} (at simulation time 59.602,300,000 s)
2023-07-08 13:17:30,560 INFO  - VEHICLE:veh_2 (at simulation time 59.602,800,000 s)
2023-07-08 13:17:30,560 INFO  - GEOLOCATION:GeoPoint{lat=52.512779,lon=13.327197,alt=0.00} (at simulation time 59.602,800,000 s)
2023-07-08 13:17:30,561 INFO  - VEHICLE:veh_3 (at simulation time 59.702,300,000 s)
2023-07-08 13:17:30,561 INFO  - GEOLOCATION:GeoPoint{lat=52.512825,lon=13.327197,alt=0.00} (at simulation time 59.702,300,000 s)
2023-07-08 13:17:30,561 INFO  - VEHICLE:veh_6 (at simulation time 59.702,800,000 s)
2023-07-08 13:17:30,561 INFO  - GEOLOCATION:GeoPoint{lat=52.512802,lon=13.327423,alt=0.00} (at simulation time 59.702,800,000 s)
2023-07-08 13:17:30,561 INFO  - VEHICLE:veh_6 (at simulation time 59.702,800,000 s)
2023-07-08 13:17:30,561 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.702,800,000 s)
2023-07-08 13:17:30,561 INFO  - VEHICLE:veh_4 (at simulation time 59.703,300,000 s)
2023-07-08 13:17:30,561 INFO  - GEOLOCATION:GeoPoint{lat=52.512749,lon=13.327197,alt=0.00} (at simulation time 59.703,300,000 s)
2023-07-08 13:17:30,562 INFO  - VEHICLE:veh_5 (at simulation time 59.801,800,000 s)
2023-07-08 13:17:30,562 INFO  - GEOLOCATION:GeoPoint{lat=52.512792,lon=13.327279,alt=0.00} (at simulation time 59.801,800,000 s)
2023-07-08 13:17:30,562 INFO  - VEHICLE:veh_2 (at simulation time 59.802,300,000 s)
2023-07-08 13:17:30,562 INFO  - GEOLOCATION:GeoPoint{lat=52.512808,lon=13.327197,alt=0.00} (at simulation time 59.802,300,000 s)
2023-07-08 13:17:30,562 INFO  - VEHICLE:veh_2 (at simulation time 59.802,800,000 s)
2023-07-08 13:17:30,562 INFO  - GEOLOCATION:GeoPoint{lat=52.512765,lon=13.327197,alt=0.00} (at simulation time 59.802,800,000 s)
2023-07-08 13:17:30,562 INFO  - VEHICLE:veh_5 (at simulation time 59.802,800,000 s)
2023-07-08 13:17:30,562 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.802,800,000 s)
2023-07-08 13:17:30,563 INFO  - VEHICLE:veh_6 (at simulation time 59.902,300,000 s)
2023-07-08 13:17:30,563 INFO  - GEOLOCATION:GeoPoint{lat=52.512809,lon=13.327197,alt=0.00} (at simulation time 59.902,300,000 s)
2023-07-08 13:17:30,563 INFO  - VEHICLE:veh_3 (at simulation time 59.902,800,000 s)
2023-07-08 13:17:30,563 INFO  - GEOLOCATION:GeoPoint{lat=52.512764,lon=13.327197,alt=0.00} (at simulation time 59.902,800,000 s)
2023-07-08 13:17:30,563 INFO  - VEHICLE:veh_2 (at simulation time 59.902,800,000 s)
2023-07-08 13:17:30,563 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.902,800,000 s)
2023-07-08 13:17:30,563 INFO  - VEHICLE:veh_2 (at simulation time 59.903,300,000 s)
2023-07-08 13:17:30,563 INFO  - GEOLOCATION:GeoPoint{lat=52.512798,lon=13.327295,alt=0.00} (at simulation time 59.903,300,000 s)
2023-07-08 13:17:30,569 INFO  - VEHICLE:veh_2 (at simulation time 60.002,800,000 s)
2023-07-08 13:17:30,569 INFO  - GEOLOCATION:GeoPoint{lat=52.512803,lon=13.327351,alt=0.00} (at simulation time 60.002,800,000 s)
2023-07-08 13:17:30,569 INFO  - VEHICLE:veh_2 (at simulation time 60.003,300,000 s)
2023-07-08 13:17:30,569 INFO  - GEOLOCATION:GeoPoint{lat=52.512841,lon=13.327546,alt=0.00} (at simulation time 60.003,300,000 s)
2023-07-08 13:17:30,569 INFO  - VEHICLE:veh_4 (at simulation time 60.003,300,000 s)
2023-07-08 13:17:30,569 INFO  - GEOLOCATION:GeoPoint{lat=52.512793,lon=13.327351,alt=0.00} (at simulation time 60.003,300,000 s)
2023-07-08 13:17:30,569 INFO  - VEHICLE:veh_3 (at simulation time 60.004,300,000 s)
2023-07-08 13:17:30,570 INFO  - GEOLOCATION:GeoPoint{lat=52.512840,lon=13.327351,alt=0.00} (at simulation time 60.004,300,000 s)
2023-07-08 13:17:30,570 INFO  - VEHICLE:veh_5 (at simulation time 60.102,800,000 s)
2023-07-08 13:17:30,570 INFO  - GEOLOCATION:GeoPoint{lat=52.512840,lon=13.327351,alt=0.00} (at simulation time 60.102,800,000 s)
2023-07-08 13:17:30,570 INFO  - VEHICLE:veh_3 (at simulation time 60.103,800,000 s)
2023-07-08 13:17:30,571 INFO  - GEOLOCATION:GeoPoint{lat=52.512816,lon=13.327571,alt=0.00} (at simulation time 60.103,800,000 s)
2023-07-08 13:17:30,571 INFO  - VEHICLE:veh_6 (at simulation time 60.103,800,000 s)
2023-07-08 13:17:30,571 INFO  - GEOLOCATION:GeoPoint{lat=52.512810,lon=13.327351,alt=0.00} (at simulation time 60.103,800,000 s)
2023-07-08 13:17:30,571 INFO  - VEHICLE:veh_3 (at simulation time 60.103,800,000 s)
2023-07-08 13:17:30,571 INFO  - GEOLOCATION:GeoPoint{lat=52.512786,lon=13.327351,alt=0.00} (at simulation time 60.103,800,000 s)
2023-07-08 13:17:30,571 INFO  - VEHICLE:veh_3 (at simulation time 60.200,800,000 s)
2023-07-08 13:17:30,571 INFO  - GEOLOCATION:GeoPoint{lat=52.512799,lon=13.327662,alt=0.00} (at simulation time 60.200,800,000 s)
2023-07-08 13:17:30,571 INFO  - VEHICLE:veh_4 (at simulation time 60.200,800,000 s)
2023-07-08 13:17:30,571 INFO  - GEOLOCATION:GeoPoint{lat=52.512821,lon=13.327351,alt=0.00} (at simulation time 60.200,800,000 s)
2023-07-08 13:17:30,571 INFO  - VEHICLE:veh_5 (at simulation time 60.202,300,000 s)
2023-07-08 13:17:30,572 INFO  - GEOLOCATION:GeoPoint{lat=52.512774,lon=13.327351,alt=0.00} (at simulation time 60.202,300,000 s)
2023-07-08 13:17:30,572 INFO  - VEHICLE:veh_5 (at simulation time 60.202,800,000 s)
2023-07-08 13:17:30,572 INFO  - GEOLOCATION:GeoPoint{lat=52.512840,lon=13.327351,alt=0.00} (at simulation time 60.202,800,000 s)
2023-07-08 13:17:30,572 INFO  - VEHICLE:veh_3 (at simulation time 60.303,300,000 s)
2023-07-08 13:17:30,572 INFO  - GEOLOCATION:GeoPoint{lat=52.512805,lon=13.327524,alt=0.00} (at simulation time 60.303,300,000 s)
2023-07-08 13:17:30,572 INFO  - VEHICLE:veh_5 (at simulation time 60.303,300,000 s)
2023-07-08 13:17:30,572 INFO  - GEOLOCATION:GeoPoint{lat=52.512840,lon=13.327351,alt=0.00} (at simulation time 60.303,300,000 s)
2023-07-08 13:17:30,572 INFO  - VEHICLE:veh_2 (at simulation time 60.304,800,000 s)
2023-07-08 13:17:30,572 INFO  - GEOLOCATION:GeoPoint{lat=52.512835,lon=13.327351,alt=0.00} (at simulation time 60.304,800,000 s)
2023-07-08 13:17:30,572 INFO  - VEHICLE:veh_2 (at simulation time 60.304,800,000 s)
2023-07-08 13:17:30,573 INFO  - GEOLOCATION:GeoPoint{lat=52.512761,lon=13.327351,alt=0.00} (at simulation time 60.304,800,000 s)
2023-07-08 13:17:30,573 INFO  - VEHICLE:veh_4 (at simulation time 60.401,800,000 s)
2023-07-08 13:17:30,573 INFO  - GEOLOCATION:GeoPoint{lat=52.512761,lon=13.327351,alt=0.00} (at simulation time 60.401,800,000 s)
2023-07-08 13:17:30,573 INFO  - VEHICLE:veh_6 (at simulation time 60.402,800,000 s)
2023-07-08 13:17:30,573 INFO  - GEOLOCATION:GeoPoint{lat=52.512840,lon=13.327351,alt=0.00} (at simulation time 60.402,800,000 s)
2023-07-08 13:17:30,573 INFO  - VEHICLE:veh_4 (at simulation time 60.403,300,000 s)
2023-07-08 13:17:30,573 INFO  - GEOLOCATION:GeoPoint{lat=52.512835,lon=13.327351,alt=0.00} (at simulation time 60.403,300,000 s)
2023-07-08 13:17:30,573 INFO  - VEHICLE:veh_6 (at simulation time 60.403,800,000 s)
2023-07-08 13:17:30,573 INFO  - GEOLOCATION:GeoPoint{lat=52.512813,lon=13.327348,alt=0.00} (at simulation time 60.403,800,000 s)
2023-07-08 13:17:30,574 INFO  - VEHICLE:veh_5 (at simulation time 60.501,300,000 s)
2023-07-08 13:17:30,574 INFO  - GEOLOCATION:GeoPoint{lat=52.512830,lon=13.327820,alt=0.00} (at simulation time 60.501,300,000 s)
2023-07-08 13:17:30,574 INFO  - VEHICLE:veh_2 (at simulation time 60.501,300,000 s)
2023-07-08 13:17:30,574 INFO  - GEOLOCATION:GeoPoint{lat=52.512838,lon=13.327351,alt=0.00} (at simulation time 60.501,300,000 s)
2023-07-08 13:17:30,574 INFO  - VEHICLE:veh_4 (at simulation time 60.501,300,000 s)
2023-07-08 13:17:30,574 INFO  - GEOLOCATION:GeoPoint{lat=52.512758,lon=13.327351,alt=0.00} (at simulation time 60.501,300,000 s)
2023-07-08 13:17:30,574 INFO  - VEHICLE:veh_4 (at simulation time 60.501,800,000 s)
2023-07-08 13:17:30,574 INFO  - GEOLOCATION:GeoPoint{lat=52.512840,lon=13.327351,alt=0.00} (at simulation time 60.501,800,000 s)
2023-07-08 13:17:30,575 INFO  - VEHICLE:veh_4 (at simulation time 60.602,800,000 s)
2023-07-08 13:17:30,575 INFO  - GEOLOCATION:GeoPoint{lat=52.512823,lon=13.327443,alt=0.00} (at simulation time 60.602,800,000 s)
2023-07-08 13:17:30,575 INFO  - VEHICLE:veh_2 (at simulation time 60.602,800,000 s)
2023-07-08 13:17:30,575 INFO  - GEOLOCATION:GeoPoint{lat=52.512781,lon=13.327351,alt=0.00} (at simulation time 60.602,800,000 s)
2023-07-08 13:17:30,575 INFO  - VEHICLE:veh_4 (at simulation time 60.603,800,000 s)
2023-07-08 13:17:30,575 INFO  - GEOLOCATION:GeoPoint{lat=52.512840,lon=13.327351,alt=0.00} (at simulation time 60.603,800,000 s)
2023-07-08 13:17:30,575 INFO  - VEHICLE:veh_5 (at simulation time 60.604,300,000 s)
2023-07-08 13:17:30,575 INFO  - GEOLOCATION:GeoPoint{lat=52.512814,lon=13.327351,alt=0.00} (at simulation time 60.604,300,000 s)
2023-07-08 13:17:30,576 INFO  - VEHICLE:veh_5 (at simulation time 60.701,800,000 s)
