2023-07-08 13:17:30,442 INFO  - Initialize application (at simulation time 8.000,000,000 s)
2023-07-08 13:17:30,444 INFO  - Activated WLAN Module (at simulation time 8.000,000,000 s)
2023-07-08 13:17:30,525 INFO  - VEHICLE:veh_0 (at simulation time 59.000,900,000 s)
2023-07-08 13:17:30,526 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.000,900,000 s)
2023-07-08 13:17:30,526 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.000,900,000 s)
2023-07-08 13:17:30,526 INFO  - FORGED RANDOM EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512821,lon=13.327635,alt=0.00} (at simulation time 59.000,900,000 s)
2023-07-08 13:17:30,534 INFO  - FORGED RANDOM GEOLOCATION UPPER: GeoPoint{lat=52.512787,lon=13.327197,alt=0.00} (at simulation time 59.000,900,000 s)
2023-07-08 13:17:30,534 INFO  - FORGED RANDOM GEOLOCATION LOWER: GeoPoint{lat=52.512787,lon=13.327197,alt=0.00} (at simulation time 59.000,900,000 s)
2023-07-08 13:17:30,535 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.000,900,000 s)
2023-07-08 13:17:30,552 INFO  - VEHICLE:veh_0 (at simulation time 59.102,400,000 s)
2023-07-08 13:17:30,552 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.102,400,000 s)
2023-07-08 13:17:30,552 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.102,400,000 s)
2023-07-08 13:17:30,552 INFO  - FORGED RANDOM EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512811,lon=13.327502,alt=0.00} (at simulation time 59.102,400,000 s)
