2023-07-08 13:13:59,924 INFO  - Initialize application (at simulation time 2.000,000,000 s)
2023-07-08 13:13:59,928 INFO  - Activated WLAN Module (at simulation time 2.000,000,000 s)
2023-07-08 13:14:00,057 INFO  - VEHICLE:veh_2 (at simulation time 59.002,300,000 s)
2023-07-08 13:14:00,057 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.002,300,000 s)
2023-07-08 13:14:00,057 INFO  - VEHICLE:veh_3 (at simulation time 59.002,800,000 s)
2023-07-08 13:14:00,057 INFO  - GEOLOCATION:GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.002,800,000 s)
2023-07-08 13:14:00,063 INFO  - VEHICLE:veh_5 (at simulation time 59.103,800,000 s)
2023-07-08 13:14:00,063 INFO  - GEOLOCATION:GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.103,800,000 s)
2023-07-08 13:14:00,063 INFO  - VEHICLE:veh_4 (at simulation time 59.104,300,000 s)
2023-07-08 13:14:00,063 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.104,300,000 s)
2023-07-08 13:14:00,066 INFO  - VEHICLE:veh_6 (at simulation time 59.202,300,000 s)
2023-07-08 13:14:00,066 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.202,300,000 s)
2023-07-08 13:14:00,066 INFO  - VEHICLE:veh_2 (at simulation time 59.203,300,000 s)
2023-07-08 13:14:00,066 INFO  - GEOLOCATION:GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.203,300,000 s)
2023-07-08 13:14:00,067 INFO  - VEHICLE:veh_2 (at simulation time 59.303,300,000 s)
2023-07-08 13:14:00,067 INFO  - GEOLOCATION:GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.303,300,000 s)
2023-07-08 13:14:00,067 INFO  - VEHICLE:veh_6 (at simulation time 59.304,300,000 s)
2023-07-08 13:14:00,067 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.304,300,000 s)
2023-07-08 13:14:00,068 INFO  - VEHICLE:veh_4 (at simulation time 59.402,300,000 s)
2023-07-08 13:14:00,068 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.402,300,000 s)
2023-07-08 13:14:00,068 INFO  - VEHICLE:veh_2 (at simulation time 59.403,800,000 s)
2023-07-08 13:14:00,068 INFO  - GEOLOCATION:GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.403,800,000 s)
2023-07-08 13:14:00,069 INFO  - VEHICLE:veh_2 (at simulation time 59.502,300,000 s)
2023-07-08 13:14:00,069 INFO  - GEOLOCATION:GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.502,300,000 s)
2023-07-08 13:14:00,069 INFO  - VEHICLE:veh_6 (at simulation time 59.503,800,000 s)
2023-07-08 13:14:00,069 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.503,800,000 s)
2023-07-08 13:14:00,070 INFO  - VEHICLE:veh_4 (at simulation time 59.602,800,000 s)
2023-07-08 13:14:00,070 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.602,800,000 s)
2023-07-08 13:14:00,070 INFO  - VEHICLE:veh_6 (at simulation time 59.603,300,000 s)
2023-07-08 13:14:00,070 INFO  - GEOLOCATION:GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.603,300,000 s)
2023-07-08 13:14:00,070 INFO  - VEHICLE:veh_5 (at simulation time 59.702,300,000 s)
2023-07-08 13:14:00,070 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.702,300,000 s)
2023-07-08 13:14:00,070 INFO  - VEHICLE:veh_5 (at simulation time 59.702,300,000 s)
2023-07-08 13:14:00,070 INFO  - GEOLOCATION:GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.702,300,000 s)
2023-07-08 13:14:00,071 INFO  - VEHICLE:veh_6 (at simulation time 59.803,800,000 s)
2023-07-08 13:14:00,071 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.803,800,000 s)
2023-07-08 13:14:00,071 INFO  - VEHICLE:veh_2 (at simulation time 59.804,300,000 s)
2023-07-08 13:14:00,071 INFO  - GEOLOCATION:GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.804,300,000 s)
2023-07-08 13:14:00,072 INFO  - VEHICLE:veh_5 (at simulation time 59.902,300,000 s)
2023-07-08 13:14:00,072 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.902,300,000 s)
2023-07-08 13:14:00,072 INFO  - VEHICLE:veh_6 (at simulation time 59.902,800,000 s)
2023-07-08 13:14:00,072 INFO  - GEOLOCATION:GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.902,800,000 s)
2023-07-08 13:14:00,078 INFO  - VEHICLE:veh_2 (at simulation time 60.002,300,000 s)
2023-07-08 13:14:00,079 INFO  - GEOLOCATION:GeoPoint{lat=52.512752,lon=13.327351,alt=0.00} (at simulation time 60.002,300,000 s)
2023-07-08 13:14:00,079 INFO  - VEHICLE:veh_3 (at simulation time 60.003,300,000 s)
2023-07-08 13:14:00,079 INFO  - GEOLOCATION:GeoPoint{lat=52.512843,lon=13.327351,alt=0.00} (at simulation time 60.003,300,000 s)
2023-07-08 13:14:00,079 INFO  - VEHICLE:veh_6 (at simulation time 60.103,300,000 s)
2023-07-08 13:14:00,079 INFO  - GEOLOCATION:GeoPoint{lat=52.512752,lon=13.327351,alt=0.00} (at simulation time 60.103,300,000 s)
2023-07-08 13:14:00,079 INFO  - VEHICLE:veh_3 (at simulation time 60.103,800,000 s)
2023-07-08 13:14:00,079 INFO  - GEOLOCATION:GeoPoint{lat=52.512843,lon=13.327351,alt=0.00} (at simulation time 60.103,800,000 s)
2023-07-08 13:14:00,080 INFO  - VEHICLE:veh_3 (at simulation time 60.203,300,000 s)
2023-07-08 13:14:00,080 INFO  - GEOLOCATION:GeoPoint{lat=52.512843,lon=13.327351,alt=0.00} (at simulation time 60.203,300,000 s)
2023-07-08 13:14:00,080 INFO  - VEHICLE:veh_4 (at simulation time 60.204,800,000 s)
2023-07-08 13:14:00,080 INFO  - GEOLOCATION:GeoPoint{lat=52.512752,lon=13.327351,alt=0.00} (at simulation time 60.204,800,000 s)
2023-07-08 13:14:00,081 INFO  - VEHICLE:veh_2 (at simulation time 60.302,800,000 s)
2023-07-08 13:14:00,081 INFO  - GEOLOCATION:GeoPoint{lat=52.512752,lon=13.327351,alt=0.00} (at simulation time 60.302,800,000 s)
2023-07-08 13:14:00,081 INFO  - VEHICLE:veh_2 (at simulation time 60.303,300,000 s)
2023-07-08 13:14:00,081 INFO  - GEOLOCATION:GeoPoint{lat=52.512843,lon=13.327351,alt=0.00} (at simulation time 60.303,300,000 s)
2023-07-08 13:14:00,082 INFO  - VEHICLE:veh_2 (at simulation time 60.401,800,000 s)
2023-07-08 13:14:00,082 INFO  - GEOLOCATION:GeoPoint{lat=52.512752,lon=13.327351,alt=0.00} (at simulation time 60.401,800,000 s)
2023-07-08 13:14:00,082 INFO  - VEHICLE:veh_2 (at simulation time 60.403,300,000 s)
2023-07-08 13:14:00,082 INFO  - GEOLOCATION:GeoPoint{lat=52.512843,lon=13.327351,alt=0.00} (at simulation time 60.403,300,000 s)
2023-07-08 13:14:00,082 INFO  - VEHICLE:veh_3 (at simulation time 60.502,300,000 s)
2023-07-08 13:14:00,082 INFO  - GEOLOCATION:GeoPoint{lat=52.512752,lon=13.327351,alt=0.00} (at simulation time 60.502,300,000 s)
