2023-07-08 13:13:59,956 INFO  - Initialize application (at simulation time 8.000,000,000 s)
2023-07-08 13:13:59,957 INFO  - Activated WLAN Module (at simulation time 8.000,000,000 s)
2023-07-08 13:14:00,042 INFO  - VEHICLE:veh_0 (at simulation time 59.000,900,000 s)
2023-07-08 13:14:00,043 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.000,900,000 s)
2023-07-08 13:14:00,043 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.000,900,000 s)
2023-07-08 13:14:00,043 INFO  - FORGED GEOLOCATION UPPER: GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.000,900,000 s)
2023-07-08 13:14:00,044 INFO  - FORGED GEOLOCATION LOWER: GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.000,900,000 s)
2023-07-08 13:14:00,057 INFO  - VEHICLE:veh_0 (at simulation time 59.102,400,000 s)
2023-07-08 13:14:00,057 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.102,400,000 s)
2023-07-08 13:14:00,057 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.102,400,000 s)
2023-07-08 13:14:00,058 INFO  - FORGED GEOLOCATION UPPER: GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.102,400,000 s)
2023-07-08 13:14:00,058 INFO  - FORGED GEOLOCATION LOWER: GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.102,400,000 s)
2023-07-08 13:14:00,064 INFO  - VEHICLE:veh_0 (at simulation time 59.201,900,000 s)
2023-07-08 13:14:00,064 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.201,900,000 s)
2023-07-08 13:14:00,064 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.201,900,000 s)
2023-07-08 13:14:00,064 INFO  - FORGED GEOLOCATION UPPER: GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.201,900,000 s)
2023-07-08 13:14:00,064 INFO  - FORGED GEOLOCATION LOWER: GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.201,900,000 s)
2023-07-08 13:14:00,067 INFO  - VEHICLE:veh_0 (at simulation time 59.302,400,000 s)
2023-07-08 13:14:00,067 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.302,400,000 s)
2023-07-08 13:14:00,067 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.302,400,000 s)
2023-07-08 13:14:00,067 INFO  - FORGED GEOLOCATION UPPER: GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.302,400,000 s)
2023-07-08 13:14:00,067 INFO  - FORGED GEOLOCATION LOWER: GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.302,400,000 s)
2023-07-08 13:14:00,067 INFO  - VEHICLE:veh_0 (at simulation time 59.401,400,000 s)
2023-07-08 13:14:00,067 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.401,400,000 s)
2023-07-08 13:14:00,067 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.401,400,000 s)
2023-07-08 13:14:00,068 INFO  - FORGED GEOLOCATION UPPER: GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.401,400,000 s)
2023-07-08 13:14:00,068 INFO  - FORGED GEOLOCATION LOWER: GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.401,400,000 s)
2023-07-08 13:14:00,068 INFO  - VEHICLE:veh_0 (at simulation time 59.501,900,000 s)
2023-07-08 13:14:00,068 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.501,900,000 s)
2023-07-08 13:14:00,068 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.501,900,000 s)
2023-07-08 13:14:00,068 INFO  - FORGED GEOLOCATION UPPER: GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.501,900,000 s)
2023-07-08 13:14:00,068 INFO  - FORGED GEOLOCATION LOWER: GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.501,900,000 s)
2023-07-08 13:14:00,069 INFO  - VEHICLE:veh_0 (at simulation time 59.601,400,000 s)
2023-07-08 13:14:00,069 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.601,400,000 s)
2023-07-08 13:14:00,069 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.601,400,000 s)
2023-07-08 13:14:00,069 INFO  - FORGED GEOLOCATION UPPER: GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.601,400,000 s)
2023-07-08 13:14:00,069 INFO  - FORGED GEOLOCATION LOWER: GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.601,400,000 s)
2023-07-08 13:14:00,070 INFO  - VEHICLE:veh_0 (at simulation time 59.700,900,000 s)
2023-07-08 13:14:00,070 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.700,900,000 s)
2023-07-08 13:14:00,070 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.700,900,000 s)
2023-07-08 13:14:00,070 INFO  - FORGED GEOLOCATION UPPER: GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.700,900,000 s)
2023-07-08 13:14:00,070 INFO  - FORGED GEOLOCATION LOWER: GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.700,900,000 s)
2023-07-08 13:14:00,071 INFO  - VEHICLE:veh_0 (at simulation time 59.801,900,000 s)
2023-07-08 13:14:00,071 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.801,900,000 s)
2023-07-08 13:14:00,071 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.801,900,000 s)
2023-07-08 13:14:00,071 INFO  - FORGED GEOLOCATION UPPER: GeoPoint{lat=52.512833,lon=13.327197,alt=0.00} (at simulation time 59.801,900,000 s)
2023-07-08 13:14:00,071 INFO  - FORGED GEOLOCATION LOWER: GeoPoint{lat=52.512741,lon=13.327197,alt=0.00} (at simulation time 59.801,900,000 s)
