2023-06-19 20:45:51,221 INFO  CentralNavigationComponent - Initializing CNC-Navigation
2023-06-19 20:45:51,330 INFO  ExtendedGraphHopper - start creating graph from database
2023-06-19 20:45:51,355 INFO  LocationIndexTree - location index created in 0.003306262s, size:75, leafs:16, precision:300, depth:2, checksum:47, entries:[16, 4], entriesPerLeaf:4.6875
2023-06-19 20:45:51,356 INFO  PrepareRoutingSubnetworks - start finding subnetworks (min:200, min one way:0) totalMB:240, usedMB:30
2023-06-19 20:45:51,357 INFO  PrepareRoutingSubnetworks - 1 subnetworks found for car, totalMB:240, usedMB:30
2023-06-19 20:45:51,357 INFO  PrepareRoutingSubnetworks - 1 subnetworks found for bike, totalMB:240, usedMB:30
2023-06-19 20:45:51,357 INFO  PrepareRoutingSubnetworks - optimize to remove subnetworks (1), unvisited-dead-end-nodes (0), maxEdges/node (4)
2023-06-19 20:45:51,357 INFO  ExtendedGraphHopper - edges: 63, nodes 47, there were 1 subnetworks. removed them => 0 less nodes
2023-06-19 20:45:51,358 INFO  ExtendedGraphHopper - flushing graph car,bike|RAM|3D|turn_cost|5,15,4,3,3, details:edges:63(1MB), nodes:47(1MB), name:(1MB), geo:346(1MB), bounds:13.31674575805664,13.377352714538574,52.511287689208984,52.516300201416016,0.0,0.0, totalMB:240, usedMB:30)
2023-06-19 20:45:51,358 INFO  ExtendedGraphHopper - flushed graph totalMB:240, usedMB:30)
2023-06-19 20:45:51,358 INFO  CentralNavigationComponent - CNC - Navigation-System initialized
2023-06-19 20:45:51,360 INFO  CentralNavigationComponent - Sending vehicle routes initialization
