2023-06-19 20:45:52,585 INFO  - Initialize application (at simulation time 8.000,000,000 s)
2023-06-19 20:45:52,586 INFO  - Activated WLAN Module (at simulation time 8.000,000,000 s)
2023-06-19 20:45:52,591 INFO  - VEHICLE:veh_0 (at simulation time 8.012,060,577 s)
2023-06-19 20:45:52,592 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.012,060,577 s)
2023-06-19 20:45:52,592 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.012,060,577 s)
2023-06-19 20:45:52,592 INFO  - FORGED GEOLOCATION UPPER: GeoPoint{lat=52.512307,lon=13.318695,alt=0.00} (at simulation time 8.012,060,577 s)
2023-06-19 20:45:52,592 INFO  - FORGED GEOLOCATION LOWER: GeoPoint{lat=52.512138,lon=13.318695,alt=0.00} (at simulation time 8.012,060,577 s)
2023-06-19 20:45:52,596 INFO  - VEHICLE:veh_0 (at simulation time 8.127,694,599 s)
2023-06-19 20:45:52,596 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.127,694,599 s)
2023-06-19 20:45:52,596 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.127,694,599 s)
2023-06-19 20:45:52,596 INFO  - FORGED GEOLOCATION UPPER: GeoPoint{lat=52.512307,lon=13.318695,alt=0.00} (at simulation time 8.127,694,599 s)
2023-06-19 20:45:52,596 INFO  - FORGED GEOLOCATION LOWER: GeoPoint{lat=52.512138,lon=13.318695,alt=0.00} (at simulation time 8.127,694,599 s)
2023-06-19 20:45:52,599 INFO  - VEHICLE:veh_0 (at simulation time 8.206,109,118 s)
2023-06-19 20:45:52,599 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.206,109,118 s)
2023-06-19 20:45:52,599 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.206,109,118 s)
2023-06-19 20:45:52,599 INFO  - FORGED GEOLOCATION UPPER: GeoPoint{lat=52.512307,lon=13.318695,alt=0.00} (at simulation time 8.206,109,118 s)
2023-06-19 20:45:52,599 INFO  - FORGED GEOLOCATION LOWER: GeoPoint{lat=52.512138,lon=13.318695,alt=0.00} (at simulation time 8.206,109,118 s)
2023-06-19 20:45:52,601 INFO  - VEHICLE:veh_0 (at simulation time 8.334,284,129 s)
2023-06-19 20:45:52,601 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.334,284,129 s)
2023-06-19 20:45:52,602 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.334,284,129 s)
2023-06-19 20:45:52,602 INFO  - FORGED GEOLOCATION UPPER: GeoPoint{lat=52.512307,lon=13.318695,alt=0.00} (at simulation time 8.334,284,129 s)
2023-06-19 20:45:52,602 INFO  - FORGED GEOLOCATION LOWER: GeoPoint{lat=52.512138,lon=13.318695,alt=0.00} (at simulation time 8.334,284,129 s)
2023-06-19 20:45:52,605 INFO  - VEHICLE:veh_0 (at simulation time 8.440,177,854 s)
2023-06-19 20:45:52,606 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.440,177,854 s)
2023-06-19 20:45:52,606 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.440,177,854 s)
2023-06-19 20:45:52,606 INFO  - FORGED GEOLOCATION UPPER: GeoPoint{lat=52.512307,lon=13.318695,alt=0.00} (at simulation time 8.440,177,854 s)
2023-06-19 20:45:52,606 INFO  - FORGED GEOLOCATION LOWER: GeoPoint{lat=52.512138,lon=13.318695,alt=0.00} (at simulation time 8.440,177,854 s)
2023-06-19 20:45:52,609 INFO  - VEHICLE:veh_0 (at simulation time 8.548,591,639 s)
2023-06-19 20:45:52,609 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.548,591,639 s)
2023-06-19 20:45:52,609 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.548,591,639 s)
2023-06-19 20:45:52,610 INFO  - FORGED GEOLOCATION UPPER: GeoPoint{lat=52.512307,lon=13.318695,alt=0.00} (at simulation time 8.548,591,639 s)
