2023-07-08 13:12:17,402 INFO  - Initialize application (at simulation time 2.000,000,000 s)
2023-07-08 13:12:17,405 INFO  - Activated WLAN Module (at simulation time 2.000,000,000 s)
2023-07-08 13:12:17,537 INFO  - VEHICLE:veh_2 (at simulation time 59.002,800,000 s)
2023-07-08 13:12:17,537 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.002,800,000 s)
2023-07-08 13:12:17,540 INFO  - VEHICLE:veh_3 (at simulation time 59.104,300,000 s)
2023-07-08 13:12:17,540 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.104,300,000 s)
2023-07-08 13:12:17,542 INFO  - VEHICLE:veh_4 (at simulation time 59.203,300,000 s)
2023-07-08 13:12:17,542 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.203,300,000 s)
2023-07-08 13:12:17,544 INFO  - VEHICLE:veh_5 (at simulation time 59.301,800,000 s)
2023-07-08 13:12:17,544 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.301,800,000 s)
2023-07-08 13:12:17,545 INFO  - VEHICLE:veh_6 (at simulation time 59.402,300,000 s)
2023-07-08 13:12:17,546 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.402,300,000 s)
2023-07-08 13:12:17,546 INFO  - VEHICLE:veh_6 (at simulation time 59.502,800,000 s)
2023-07-08 13:12:17,546 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.502,800,000 s)
2023-07-08 13:12:17,546 INFO  - VEHICLE:veh_3 (at simulation time 59.602,800,000 s)
2023-07-08 13:12:17,547 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.602,800,000 s)
2023-07-08 13:12:17,547 INFO  - VEHICLE:veh_6 (at simulation time 59.701,300,000 s)
2023-07-08 13:12:17,547 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.701,300,000 s)
2023-07-08 13:12:17,547 INFO  - VEHICLE:veh_2 (at simulation time 59.802,300,000 s)
2023-07-08 13:12:17,548 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.802,300,000 s)
2023-07-08 13:12:17,548 INFO  - VEHICLE:veh_5 (at simulation time 59.902,300,000 s)
2023-07-08 13:12:17,548 INFO  - GEOLOCATION:GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.902,300,000 s)
2023-07-08 13:12:17,552 INFO  - VEHICLE:veh_6 (at simulation time 60.002,300,000 s)
2023-07-08 13:12:17,552 INFO  - GEOLOCATION:GeoPoint{lat=52.512843,lon=13.327872,alt=0.00} (at simulation time 60.002,300,000 s)
2023-07-08 13:12:17,553 INFO  - VEHICLE:veh_2 (at simulation time 60.103,300,000 s)
2023-07-08 13:12:17,553 INFO  - GEOLOCATION:GeoPoint{lat=52.512843,lon=13.327872,alt=0.00} (at simulation time 60.103,300,000 s)
2023-07-08 13:12:17,553 INFO  - VEHICLE:veh_3 (at simulation time 60.203,800,000 s)
2023-07-08 13:12:17,553 INFO  - GEOLOCATION:GeoPoint{lat=52.512843,lon=13.327872,alt=0.00} (at simulation time 60.203,800,000 s)
2023-07-08 13:12:17,554 INFO  - VEHICLE:veh_3 (at simulation time 60.301,800,000 s)
2023-07-08 13:12:17,554 INFO  - GEOLOCATION:GeoPoint{lat=52.512843,lon=13.327872,alt=0.00} (at simulation time 60.301,800,000 s)
2023-07-08 13:12:17,554 INFO  - VEHICLE:veh_5 (at simulation time 60.401,300,000 s)
