2023-07-08 13:12:17,435 INFO  - Initialize application (at simulation time 8.000,000,000 s)
2023-07-08 13:12:17,437 INFO  - Activated WLAN Module (at simulation time 8.000,000,000 s)
2023-07-08 13:12:17,517 INFO  - VEHICLE:veh_0 (at simulation time 59.000,900,000 s)
2023-07-08 13:12:17,518 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.000,900,000 s)
2023-07-08 13:12:17,518 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.000,900,000 s)
2023-07-08 13:12:17,518 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.000,900,000 s)
2023-07-08 13:12:17,538 INFO  - VEHICLE:veh_0 (at simulation time 59.101,900,000 s)
2023-07-08 13:12:17,538 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.101,900,000 s)
2023-07-08 13:12:17,538 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.101,900,000 s)
2023-07-08 13:12:17,538 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.101,900,000 s)
2023-07-08 13:12:17,540 INFO  - VEHICLE:veh_0 (at simulation time 59.201,400,000 s)
2023-07-08 13:12:17,540 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.201,400,000 s)
2023-07-08 13:12:17,540 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.201,400,000 s)
2023-07-08 13:12:17,540 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.201,400,000 s)
2023-07-08 13:12:17,542 INFO  - VEHICLE:veh_0 (at simulation time 59.301,400,000 s)
2023-07-08 13:12:17,542 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.301,400,000 s)
2023-07-08 13:12:17,542 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.301,400,000 s)
2023-07-08 13:12:17,542 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.301,400,000 s)
2023-07-08 13:12:17,544 INFO  - VEHICLE:veh_0 (at simulation time 59.400,900,000 s)
2023-07-08 13:12:17,544 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.400,900,000 s)
2023-07-08 13:12:17,544 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.400,900,000 s)
2023-07-08 13:12:17,544 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.400,900,000 s)
2023-07-08 13:12:17,546 INFO  - VEHICLE:veh_0 (at simulation time 59.501,400,000 s)
2023-07-08 13:12:17,546 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.501,400,000 s)
2023-07-08 13:12:17,546 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.501,400,000 s)
2023-07-08 13:12:17,546 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.501,400,000 s)
2023-07-08 13:12:17,546 INFO  - VEHICLE:veh_0 (at simulation time 59.600,900,000 s)
2023-07-08 13:12:17,546 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.600,900,000 s)
2023-07-08 13:12:17,546 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.600,900,000 s)
2023-07-08 13:12:17,546 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.600,900,000 s)
2023-07-08 13:12:17,547 INFO  - VEHICLE:veh_0 (at simulation time 59.700,900,000 s)
2023-07-08 13:12:17,547 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.700,900,000 s)
2023-07-08 13:12:17,547 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.700,900,000 s)
2023-07-08 13:12:17,547 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.700,900,000 s)
2023-07-08 13:12:17,547 INFO  - VEHICLE:veh_0 (at simulation time 59.801,900,000 s)
2023-07-08 13:12:17,547 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.801,900,000 s)
2023-07-08 13:12:17,547 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.801,900,000 s)
2023-07-08 13:12:17,547 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.801,900,000 s)
2023-07-08 13:12:17,548 INFO  - VEHICLE:veh_0 (at simulation time 59.900,900,000 s)
2023-07-08 13:12:17,548 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.900,900,000 s)
2023-07-08 13:12:17,548 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.900,900,000 s)
2023-07-08 13:12:17,548 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512833,lon=13.327736,alt=0.00} (at simulation time 59.900,900,000 s)
2023-07-08 13:12:17,552 INFO  - VEHICLE:veh_0 (at simulation time 60.000,400,000 s)
2023-07-08 13:12:17,552 INFO  - GEOLOCATION:GeoPoint{lat=52.512798,lon=13.327168,alt=0.00} (at simulation time 60.000,400,000 s)
2023-07-08 13:12:17,552 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512752,lon=13.326463,alt=0.00} (at simulation time 60.000,400,000 s)
2023-07-08 13:12:17,552 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512843,lon=13.327872,alt=0.00} (at simulation time 60.000,400,000 s)
2023-07-08 13:12:17,553 INFO  - VEHICLE:veh_0 (at simulation time 60.101,400,000 s)
2023-07-08 13:12:17,553 INFO  - GEOLOCATION:GeoPoint{lat=52.512798,lon=13.327168,alt=0.00} (at simulation time 60.101,400,000 s)
2023-07-08 13:12:17,553 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512752,lon=13.326463,alt=0.00} (at simulation time 60.101,400,000 s)
2023-07-08 13:12:17,553 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512843,lon=13.327872,alt=0.00} (at simulation time 60.101,400,000 s)
2023-07-08 13:12:17,553 INFO  - VEHICLE:veh_0 (at simulation time 60.201,900,000 s)
2023-07-08 13:12:17,553 INFO  - GEOLOCATION:GeoPoint{lat=52.512798,lon=13.327168,alt=0.00} (at simulation time 60.201,900,000 s)
2023-07-08 13:12:17,553 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512752,lon=13.326463,alt=0.00} (at simulation time 60.201,900,000 s)
2023-07-08 13:12:17,553 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512843,lon=13.327872,alt=0.00} (at simulation time 60.201,900,000 s)
2023-07-08 13:12:17,554 INFO  - VEHICLE:veh_0 (at simulation time 60.300,400,000 s)
2023-07-08 13:12:17,554 INFO  - GEOLOCATION:GeoPoint{lat=52.512798,lon=13.327168,alt=0.00} (at simulation time 60.300,400,000 s)
2023-07-08 13:12:17,554 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512752,lon=13.326463,alt=0.00} (at simulation time 60.300,400,000 s)
2023-07-08 13:12:17,554 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512843,lon=13.327872,alt=0.00} (at simulation time 60.300,400,000 s)
2023-07-08 13:12:17,554 INFO  - VEHICLE:veh_0 (at simulation time 60.400,400,000 s)
2023-07-08 13:12:17,554 INFO  - GEOLOCATION:GeoPoint{lat=52.512798,lon=13.327168,alt=0.00} (at simulation time 60.400,400,000 s)
2023-07-08 13:12:17,554 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512752,lon=13.326463,alt=0.00} (at simulation time 60.400,400,000 s)
2023-07-08 13:12:17,554 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512843,lon=13.327872,alt=0.00} (at simulation time 60.400,400,000 s)
2023-07-08 13:12:17,554 INFO  - VEHICLE:veh_0 (at simulation time 60.501,400,000 s)
2023-07-08 13:12:17,555 INFO  - GEOLOCATION:GeoPoint{lat=52.512798,lon=13.327168,alt=0.00} (at simulation time 60.501,400,000 s)
2023-07-08 13:12:17,555 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512752,lon=13.326463,alt=0.00} (at simulation time 60.501,400,000 s)
2023-07-08 13:12:17,555 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512843,lon=13.327872,alt=0.00} (at simulation time 60.501,400,000 s)
2023-07-08 13:12:17,555 INFO  - VEHICLE:veh_0 (at simulation time 60.601,900,000 s)
2023-07-08 13:12:17,555 INFO  - GEOLOCATION:GeoPoint{lat=52.512798,lon=13.327168,alt=0.00} (at simulation time 60.601,900,000 s)
2023-07-08 13:12:17,555 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512752,lon=13.326463,alt=0.00} (at simulation time 60.601,900,000 s)
