TRAFFICLIGHT_REGISTRATION;0;tl_0;[];52.51281796989514;13.320879723702655
TRAFFICLIGHT_REGISTRATION;0;tl_1;[];52.512972796061305;13.321050667013942
TRAFFICLIGHT_REGISTRATION;0;tl_2;[];52.513195988847926;13.32197826914039
TRAFFICLIGHT_REGISTRATION;0;tl_3;[];52.51201052836429;13.3225443836251
TRAFFICLIGHT_REGISTRATION;0;tl_4;[];52.51240498479142;13.323084502296105
TRAFFICLIGHT_REGISTRATION;0;tl_5;[];52.51471086422381;13.349126417278068
TRAFFICLIGHT_REGISTRATION;0;tl_6;[];52.51415089266608;13.349074605144448
TRAFFICLIGHT_REGISTRATION;0;tl_7;[];52.51477570327757;13.351242388609286
TRAFFICLIGHT_REGISTRATION;0;tl_8;[];52.51422807189337;13.351211456956072
TRAFFICLIGHT_REGISTRATION;0;tl_9;[];52.51385604583634;13.350716649125815
TRAFFICLIGHT_REGISTRATION;0;tl_10;[];52.51336763331891;13.331712942497573
TRAFFICLIGHT_REGISTRATION;0;tl_11;[];52.51363891598417;13.335806880544975
TRAFFICLIGHT_REGISTRATION;0;tl_12;[];52.512613756576016;13.323401505414065
TRAFFICLIGHT_REGISTRATION;0;tl_13;[];52.5131223152113;13.33151886165868
TRAFFICLIGHT_REGISTRATION;0;tl_14;[];52.51337011834932;13.335598631139188
TRAFFICLIGHT_REGISTRATION;0;tl_15;[];52.516092043974595;13.377070492922233
TRAFFICLIGHT_REGISTRATION;0;tl_16;[];52.51630753279188;13.376957025790132
TRAFFICLIGHT_REGISTRATION;0;tl_17;[];52.51587815269309;13.36998715846661
TRAFFICLIGHT_REGISTRATION;0;tl_18;[];52.51327266616213;13.33035378471609
TRAFFICLIGHT_REGISTRATION;0;tl_19;[];52.51303946755152;13.330235001471328
TRAFFICLIGHT_REGISTRATION;0;tl_20;[];52.51212828533486;13.317299601900297
TRAFFICLIGHT_REGISTRATION;0;tl_21;[];52.51232717059213;13.320748708042013
TRAFFICLIGHT_REGISTRATION;0;tl_22;[];52.51633523988754;13.376748343276
TRAFFICLIGHT_REGISTRATION;0;tl_23;[];52.51567892380861;13.36980544425391
TRAFFICLIGHT_REGISTRATION;0;tl_24;[];52.51605762956028;13.376613258532448
TRAFFICLIGHT_REGISTRATION;0;tl_25;[];52.512782083085035;13.323497520423023
TRAFFICLIGHT_REGISTRATION;0;tl_26;[];52.51276685312859;13.326683526600151
TRAFFICLIGHT_REGISTRATION;0;tl_27;[];52.512990858136945;13.326838598391175
RSU_REGISTRATION;0;rsu_0;[];52.513060766781614;13.32891047000885
VEHICLE_REGISTRATION;1000000000;veh_0;[adhocCommunication.AutobotVehicle, adhocCommunication.VehicleSpeed];Autobot
V2X_MESSAGE_TRANSMISSION;2000000000;0;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;2100000000;1;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;2200000000;2;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;2300000000;3;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;2400000000;4;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;2500000000;5;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;2600000000;6;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;2700000000;7;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;2800000000;8;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;2900000000;9;veh_0;AutobotMessage
VEHICLE_UPDATES;3000000000;veh_0;52.51215193399461;13.317518290256574;13.668951434127521;84.71153588196714
V2X_MESSAGE_TRANSMISSION;3000000000;10;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;3100000000;11;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;3200000000;12;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;3300000000;13;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;3400000000;14;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;3500000000;15;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;3600000000;16;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;3700000000;17;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;3800000000;18;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;3900000000;19;veh_0;AutobotMessage
VEHICLE_UPDATES;4000000000;veh_0;52.51216607007476;13.317717821323505;13.69454988393467;84.71153588196714
V2X_MESSAGE_TRANSMISSION;4000000000;20;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;4100000000;21;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;4200000000;22;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;4300000000;23;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;4400000000;24;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;4500000000;25;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;4600000000;26;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;4700000000;27;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;4800000000;28;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;4900000000;29;veh_0;AutobotMessage
