2023-06-19 20:44:08,115 INFO  - Initialize application (at simulation time 8.000,000,000 s)
2023-06-19 20:44:08,116 INFO  - Activated WLAN Module (at simulation time 8.000,000,000 s)
2023-06-19 20:44:08,121 INFO  - VEHICLE:veh_0 (at simulation time 8.012,060,577 s)
2023-06-19 20:44:08,121 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.012,060,577 s)
2023-06-19 20:44:08,121 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.012,060,577 s)
2023-06-19 20:44:08,121 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512307,lon=13.319706,alt=0.00} (at simulation time 8.012,060,577 s)
2023-06-19 20:44:08,124 INFO  - VEHICLE:veh_0 (at simulation time 8.137,835,356 s)
2023-06-19 20:44:08,124 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.137,835,356 s)
2023-06-19 20:44:08,124 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.137,835,356 s)
2023-06-19 20:44:08,124 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512307,lon=13.319706,alt=0.00} (at simulation time 8.137,835,356 s)
2023-06-19 20:44:08,126 INFO  - VEHICLE:veh_0 (at simulation time 8.273,018,608 s)
2023-06-19 20:44:08,126 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.273,018,608 s)
2023-06-19 20:44:08,126 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.273,018,608 s)
2023-06-19 20:44:08,126 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512307,lon=13.319706,alt=0.00} (at simulation time 8.273,018,608 s)
2023-06-19 20:44:08,128 INFO  - VEHICLE:veh_0 (at simulation time 8.306,109,118 s)
2023-06-19 20:44:08,128 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.306,109,118 s)
2023-06-19 20:44:08,128 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.306,109,118 s)
2023-06-19 20:44:08,128 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512307,lon=13.319706,alt=0.00} (at simulation time 8.306,109,118 s)
2023-06-19 20:44:08,138 INFO  - VEHICLE:veh_0 (at simulation time 8.401,019,585 s)
2023-06-19 20:44:08,138 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.401,019,585 s)
2023-06-19 20:44:08,138 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.401,019,585 s)
2023-06-19 20:44:08,138 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512307,lon=13.319706,alt=0.00} (at simulation time 8.401,019,585 s)
2023-06-19 20:44:08,140 INFO  - VEHICLE:veh_0 (at simulation time 8.541,974,396 s)
2023-06-19 20:44:08,141 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.541,974,396 s)
2023-06-19 20:44:08,141 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.541,974,396 s)
2023-06-19 20:44:08,141 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512307,lon=13.319706,alt=0.00} (at simulation time 8.541,974,396 s)
2023-06-19 20:44:08,143 INFO  - VEHICLE:veh_0 (at simulation time 8.640,177,854 s)
2023-06-19 20:44:08,143 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.640,177,854 s)
2023-06-19 20:44:08,143 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.640,177,854 s)
2023-06-19 20:44:08,143 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512307,lon=13.319706,alt=0.00} (at simulation time 8.640,177,854 s)
2023-06-19 20:44:08,145 INFO  - VEHICLE:veh_0 (at simulation time 8.799,257,086 s)
2023-06-19 20:44:08,145 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.799,257,086 s)
2023-06-19 20:44:08,145 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.799,257,086 s)
2023-06-19 20:44:08,145 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512307,lon=13.319706,alt=0.00} (at simulation time 8.799,257,086 s)
2023-06-19 20:44:08,146 INFO  - VEHICLE:veh_0 (at simulation time 8.810,873,706 s)
2023-06-19 20:44:08,147 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.810,873,706 s)
2023-06-19 20:44:08,147 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.810,873,706 s)
2023-06-19 20:44:08,147 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512307,lon=13.319706,alt=0.00} (at simulation time 8.810,873,706 s)
2023-06-19 20:44:08,149 INFO  - VEHICLE:veh_0 (at simulation time 8.974,702,315 s)
2023-06-19 20:44:08,150 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.974,702,315 s)
2023-06-19 20:44:08,150 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.974,702,315 s)
2023-06-19 20:44:08,150 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512307,lon=13.319706,alt=0.00} (at simulation time 8.974,702,315 s)
2023-06-19 20:44:08,154 INFO  - VEHICLE:veh_0 (at simulation time 9.077,529,363 s)
2023-06-19 20:44:08,154 INFO  - GEOLOCATION:GeoPoint{lat=52.512237,lon=13.318715,alt=0.00} (at simulation time 9.077,529,363 s)
2023-06-19 20:44:08,154 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512151,lon=13.317505,alt=0.00} (at simulation time 9.077,529,363 s)
2023-06-19 20:44:08,154 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512322,lon=13.319924,alt=0.00} (at simulation time 9.077,529,363 s)
2023-06-19 20:44:08,156 INFO  - VEHICLE:veh_0 (at simulation time 9.145,475,552 s)
2023-06-19 20:44:08,156 INFO  - GEOLOCATION:GeoPoint{lat=52.512237,lon=13.318715,alt=0.00} (at simulation time 9.145,475,552 s)
2023-06-19 20:44:08,156 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512151,lon=13.317505,alt=0.00} (at simulation time 9.145,475,552 s)
2023-06-19 20:44:08,157 INFO  - FORGED EUCLIDIAN GEOLOCATION: GeoPoint{lat=52.512322,lon=13.319924,alt=0.00} (at simulation time 9.145,475,552 s)
2023-06-19 20:44:08,158 INFO  - VEHICLE:veh_0 (at simulation time 9.281,054,064 s)
2023-06-19 20:44:08,158 INFO  - GEOLOCATION:GeoPoint{lat=52.512237,lon=13.318715,alt=0.00} (at simulation time 9.281,054,064 s)
