2023-07-08 13:10:59,807 INFO  - Initialize application (at simulation time 2.000,000,000 s)
2023-07-08 13:10:59,810 INFO  - Activated WLAN Module (at simulation time 2.000,000,000 s)
2023-07-08 13:10:59,911 INFO  - VEHICLE:veh_1 (at simulation time 54.000,900,000 s)
2023-07-08 13:10:59,911 INFO  - GEOLOCATION:GeoPoint{lat=52.512708,lon=13.325785,alt=0.00} (at simulation time 54.000,900,000 s)
2023-07-08 13:10:59,911 INFO  - VEHICLE:veh_1 (at simulation time 54.101,400,000 s)
2023-07-08 13:10:59,911 INFO  - GEOLOCATION:GeoPoint{lat=52.512708,lon=13.325785,alt=0.00} (at simulation time 54.101,400,000 s)
2023-07-08 13:10:59,911 INFO  - VEHICLE:veh_1 (at simulation time 54.201,900,000 s)
2023-07-08 13:10:59,911 INFO  - GEOLOCATION:GeoPoint{lat=52.512708,lon=13.325785,alt=0.00} (at simulation time 54.201,900,000 s)
2023-07-08 13:10:59,911 INFO  - VEHICLE:veh_1 (at simulation time 54.301,400,000 s)
2023-07-08 13:10:59,912 INFO  - GEOLOCATION:GeoPoint{lat=52.512708,lon=13.325785,alt=0.00} (at simulation time 54.301,400,000 s)
2023-07-08 13:10:59,912 INFO  - VEHICLE:veh_1 (at simulation time 54.401,400,000 s)
2023-07-08 13:10:59,912 INFO  - GEOLOCATION:GeoPoint{lat=52.512708,lon=13.325785,alt=0.00} (at simulation time 54.401,400,000 s)
2023-07-08 13:10:59,912 INFO  - VEHICLE:veh_1 (at simulation time 54.502,400,000 s)
2023-07-08 13:10:59,912 INFO  - GEOLOCATION:GeoPoint{lat=52.512708,lon=13.325785,alt=0.00} (at simulation time 54.502,400,000 s)
2023-07-08 13:10:59,912 INFO  - VEHICLE:veh_1 (at simulation time 54.600,400,000 s)
2023-07-08 13:10:59,912 INFO  - GEOLOCATION:GeoPoint{lat=52.512708,lon=13.325785,alt=0.00} (at simulation time 54.600,400,000 s)
2023-07-08 13:10:59,913 INFO  - VEHICLE:veh_1 (at simulation time 54.701,900,000 s)
2023-07-08 13:10:59,913 INFO  - GEOLOCATION:GeoPoint{lat=52.512708,lon=13.325785,alt=0.00} (at simulation time 54.701,900,000 s)
2023-07-08 13:10:59,913 INFO  - VEHICLE:veh_1 (at simulation time 54.800,400,000 s)
2023-07-08 13:10:59,913 INFO  - GEOLOCATION:GeoPoint{lat=52.512708,lon=13.325785,alt=0.00} (at simulation time 54.800,400,000 s)
2023-07-08 13:10:59,913 INFO  - VEHICLE:veh_1 (at simulation time 54.901,900,000 s)
2023-07-08 13:10:59,913 INFO  - GEOLOCATION:GeoPoint{lat=52.512708,lon=13.325785,alt=0.00} (at simulation time 54.901,900,000 s)
2023-07-08 13:10:59,915 INFO  - VEHICLE:veh_1 (at simulation time 55.001,900,000 s)
2023-07-08 13:10:59,916 INFO  - GEOLOCATION:GeoPoint{lat=52.512748,lon=13.325951,alt=0.00} (at simulation time 55.001,900,000 s)
2023-07-08 13:10:59,916 INFO  - VEHICLE:veh_1 (at simulation time 55.101,900,000 s)
2023-07-08 13:10:59,916 INFO  - GEOLOCATION:GeoPoint{lat=52.512748,lon=13.325951,alt=0.00} (at simulation time 55.101,900,000 s)
2023-07-08 13:10:59,916 INFO  - VEHICLE:veh_1 (at simulation time 55.200,900,000 s)
2023-07-08 13:10:59,916 INFO  - GEOLOCATION:GeoPoint{lat=52.512748,lon=13.325951,alt=0.00} (at simulation time 55.200,900,000 s)
2023-07-08 13:10:59,916 INFO  - VEHICLE:veh_1 (at simulation time 55.300,900,000 s)
2023-07-08 13:10:59,916 INFO  - GEOLOCATION:GeoPoint{lat=52.512748,lon=13.325951,alt=0.00} (at simulation time 55.300,900,000 s)
2023-07-08 13:10:59,917 INFO  - VEHICLE:veh_1 (at simulation time 55.400,400,000 s)
2023-07-08 13:10:59,917 INFO  - GEOLOCATION:GeoPoint{lat=52.512748,lon=13.325951,alt=0.00} (at simulation time 55.400,400,000 s)
2023-07-08 13:10:59,917 INFO  - VEHICLE:veh_1 (at simulation time 55.500,400,000 s)
2023-07-08 13:10:59,917 INFO  - GEOLOCATION:GeoPoint{lat=52.512748,lon=13.325951,alt=0.00} (at simulation time 55.500,400,000 s)
2023-07-08 13:10:59,917 INFO  - VEHICLE:veh_1 (at simulation time 55.601,900,000 s)
2023-07-08 13:10:59,917 INFO  - GEOLOCATION:GeoPoint{lat=52.512748,lon=13.325951,alt=0.00} (at simulation time 55.601,900,000 s)
2023-07-08 13:10:59,917 INFO  - VEHICLE:veh_1 (at simulation time 55.701,400,000 s)
2023-07-08 13:10:59,917 INFO  - GEOLOCATION:GeoPoint{lat=52.512748,lon=13.325951,alt=0.00} (at simulation time 55.701,400,000 s)
2023-07-08 13:10:59,918 INFO  - VEHICLE:veh_1 (at simulation time 55.802,400,000 s)
2023-07-08 13:10:59,918 INFO  - GEOLOCATION:GeoPoint{lat=52.512748,lon=13.325951,alt=0.00} (at simulation time 55.802,400,000 s)
2023-07-08 13:10:59,918 INFO  - VEHICLE:veh_1 (at simulation time 55.900,400,000 s)
2023-07-08 13:10:59,918 INFO  - GEOLOCATION:GeoPoint{lat=52.512748,lon=13.325951,alt=0.00} (at simulation time 55.900,400,000 s)
2023-07-08 13:10:59,919 INFO  - VEHICLE:veh_1 (at simulation time 56.001,400,000 s)
2023-07-08 13:10:59,919 INFO  - GEOLOCATION:GeoPoint{lat=52.512760,lon=13.326141,alt=0.00} (at simulation time 56.001,400,000 s)
2023-07-08 13:10:59,920 INFO  - VEHICLE:veh_1 (at simulation time 56.100,400,000 s)
2023-07-08 13:10:59,920 INFO  - GEOLOCATION:GeoPoint{lat=52.512760,lon=13.326141,alt=0.00} (at simulation time 56.100,400,000 s)
