2023-07-08 13:14:48,273 INFO  - Initialize application (at simulation time 2.000,000,000 s)
2023-07-08 13:14:48,276 INFO  - Activated WLAN Module (at simulation time 2.000,000,000 s)
2023-07-08 13:14:48,374 INFO  - VEHICLE:veh_2 (at simulation time 59.002,800,000 s)
2023-07-08 13:14:48,374 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.002,800,000 s)
2023-07-08 13:14:48,377 INFO  - VEHICLE:veh_3 (at simulation time 59.104,300,000 s)
2023-07-08 13:14:48,377 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.104,300,000 s)
2023-07-08 13:14:48,379 INFO  - VEHICLE:veh_4 (at simulation time 59.203,300,000 s)
2023-07-08 13:14:48,379 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.203,300,000 s)
2023-07-08 13:14:48,380 INFO  - VEHICLE:veh_5 (at simulation time 59.301,800,000 s)
2023-07-08 13:14:48,380 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.301,800,000 s)
2023-07-08 13:14:48,382 INFO  - VEHICLE:veh_6 (at simulation time 59.402,300,000 s)
2023-07-08 13:14:48,382 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.402,300,000 s)
2023-07-08 13:14:48,383 INFO  - VEHICLE:veh_2 (at simulation time 59.503,300,000 s)
2023-07-08 13:14:48,383 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.503,300,000 s)
2023-07-08 13:14:48,383 INFO  - VEHICLE:veh_4 (at simulation time 59.602,800,000 s)
2023-07-08 13:14:48,383 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.602,800,000 s)
2023-07-08 13:14:48,384 INFO  - VEHICLE:veh_5 (at simulation time 59.703,300,000 s)
2023-07-08 13:14:48,384 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.703,300,000 s)
2023-07-08 13:14:48,384 INFO  - VEHICLE:veh_5 (at simulation time 59.802,300,000 s)
2023-07-08 13:14:48,384 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.802,300,000 s)
2023-07-08 13:14:48,385 INFO  - VEHICLE:veh_6 (at simulation time 59.901,800,000 s)
2023-07-08 13:14:48,385 INFO  - GEOLOCATION:GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.901,800,000 s)
2023-07-08 13:14:48,389 INFO  - VEHICLE:veh_3 (at simulation time 60.002,300,000 s)
2023-07-08 13:14:48,389 INFO  - GEOLOCATION:GeoPoint{lat=52.512840,lon=13.327351,alt=0.00} (at simulation time 60.002,300,000 s)
2023-07-08 13:14:48,389 INFO  - VEHICLE:veh_3 (at simulation time 60.103,300,000 s)
2023-07-08 13:14:48,389 INFO  - GEOLOCATION:GeoPoint{lat=52.512840,lon=13.327351,alt=0.00} (at simulation time 60.103,300,000 s)
2023-07-08 13:14:48,389 INFO  - VEHICLE:veh_5 (at simulation time 60.203,800,000 s)
2023-07-08 13:14:48,390 INFO  - GEOLOCATION:GeoPoint{lat=52.512840,lon=13.327351,alt=0.00} (at simulation time 60.203,800,000 s)
2023-07-08 13:14:48,390 INFO  - VEHICLE:veh_6 (at simulation time 60.302,800,000 s)
2023-07-08 13:14:48,390 INFO  - GEOLOCATION:GeoPoint{lat=52.512840,lon=13.327351,alt=0.00} (at simulation time 60.302,800,000 s)
2023-07-08 13:14:48,390 INFO  - VEHICLE:veh_5 (at simulation time 60.401,300,000 s)
2023-07-08 13:14:48,390 INFO  - GEOLOCATION:GeoPoint{lat=52.512840,lon=13.327351,alt=0.00} (at simulation time 60.401,300,000 s)
2023-07-08 13:14:48,391 INFO  - VEHICLE:veh_5 (at simulation time 60.501,800,000 s)
2023-07-08 13:14:48,391 INFO  - GEOLOCATION:GeoPoint{lat=52.512840,lon=13.327351,alt=0.00} (at simulation time 60.501,800,000 s)
2023-07-08 13:14:48,391 INFO  - VEHICLE:veh_2 (at simulation time 60.602,300,000 s)
2023-07-08 13:14:48,391 INFO  - GEOLOCATION:GeoPoint{lat=52.512840,lon=13.327351,alt=0.00} (at simulation time 60.602,300,000 s)
2023-07-08 13:14:48,392 INFO  - VEHICLE:veh_3 (at simulation time 60.704,800,000 s)
2023-07-08 13:14:48,392 INFO  - GEOLOCATION:GeoPoint{lat=52.512840,lon=13.327351,alt=0.00} (at simulation time 60.704,800,000 s)
2023-07-08 13:14:48,392 INFO  - VEHICLE:veh_5 (at simulation time 60.803,300,000 s)
