2023-07-08 13:14:48,297 INFO  - Initialize application (at simulation time 8.000,000,000 s)
2023-07-08 13:14:48,299 INFO  - Activated WLAN Module (at simulation time 8.000,000,000 s)
2023-07-08 13:14:48,365 INFO  - VEHICLE:veh_0 (at simulation time 59.000,900,000 s)
2023-07-08 13:14:48,366 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.000,900,000 s)
2023-07-08 13:14:48,366 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.000,900,000 s)
2023-07-08 13:14:48,366 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.000,900,000 s)
2023-07-08 13:14:48,375 INFO  - VEHICLE:veh_0 (at simulation time 59.101,900,000 s)
2023-07-08 13:14:48,375 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.101,900,000 s)
2023-07-08 13:14:48,375 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.101,900,000 s)
2023-07-08 13:14:48,375 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.101,900,000 s)
2023-07-08 13:14:48,377 INFO  - VEHICLE:veh_0 (at simulation time 59.201,400,000 s)
2023-07-08 13:14:48,377 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.201,400,000 s)
2023-07-08 13:14:48,377 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.201,400,000 s)
2023-07-08 13:14:48,377 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.201,400,000 s)
2023-07-08 13:14:48,379 INFO  - VEHICLE:veh_0 (at simulation time 59.301,400,000 s)
2023-07-08 13:14:48,379 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.301,400,000 s)
2023-07-08 13:14:48,379 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.301,400,000 s)
2023-07-08 13:14:48,379 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.301,400,000 s)
2023-07-08 13:14:48,381 INFO  - VEHICLE:veh_0 (at simulation time 59.400,900,000 s)
2023-07-08 13:14:48,381 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.400,900,000 s)
2023-07-08 13:14:48,381 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.400,900,000 s)
2023-07-08 13:14:48,381 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.400,900,000 s)
2023-07-08 13:14:48,382 INFO  - VEHICLE:veh_0 (at simulation time 59.501,400,000 s)
2023-07-08 13:14:48,383 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.501,400,000 s)
2023-07-08 13:14:48,383 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.501,400,000 s)
2023-07-08 13:14:48,383 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.501,400,000 s)
2023-07-08 13:14:48,383 INFO  - VEHICLE:veh_0 (at simulation time 59.600,900,000 s)
2023-07-08 13:14:48,383 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.600,900,000 s)
2023-07-08 13:14:48,383 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.600,900,000 s)
2023-07-08 13:14:48,383 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.600,900,000 s)
2023-07-08 13:14:48,384 INFO  - VEHICLE:veh_0 (at simulation time 59.700,900,000 s)
2023-07-08 13:14:48,384 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.700,900,000 s)
2023-07-08 13:14:48,384 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.700,900,000 s)
2023-07-08 13:14:48,384 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.700,900,000 s)
2023-07-08 13:14:48,384 INFO  - VEHICLE:veh_0 (at simulation time 59.801,900,000 s)
2023-07-08 13:14:48,384 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.801,900,000 s)
2023-07-08 13:14:48,384 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.801,900,000 s)
2023-07-08 13:14:48,384 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.801,900,000 s)
2023-07-08 13:14:48,385 INFO  - VEHICLE:veh_0 (at simulation time 59.900,900,000 s)
2023-07-08 13:14:48,385 INFO  - GEOLOCATION:GeoPoint{lat=52.512787,lon=13.327014,alt=0.00} (at simulation time 59.900,900,000 s)
2023-07-08 13:14:48,385 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512741,lon=13.326291,alt=0.00} (at simulation time 59.900,900,000 s)
2023-07-08 13:14:48,385 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512829,lon=13.327197,alt=0.00} (at simulation time 59.900,900,000 s)
2023-07-08 13:14:48,388 INFO  - VEHICLE:veh_0 (at simulation time 60.000,400,000 s)
2023-07-08 13:14:48,388 INFO  - GEOLOCATION:GeoPoint{lat=52.512798,lon=13.327168,alt=0.00} (at simulation time 60.000,400,000 s)
2023-07-08 13:14:48,388 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512752,lon=13.326463,alt=0.00} (at simulation time 60.000,400,000 s)
2023-07-08 13:14:48,388 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512840,lon=13.327351,alt=0.00} (at simulation time 60.000,400,000 s)
2023-07-08 13:14:48,389 INFO  - VEHICLE:veh_0 (at simulation time 60.101,400,000 s)
2023-07-08 13:14:48,389 INFO  - GEOLOCATION:GeoPoint{lat=52.512798,lon=13.327168,alt=0.00} (at simulation time 60.101,400,000 s)
2023-07-08 13:14:48,389 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512752,lon=13.326463,alt=0.00} (at simulation time 60.101,400,000 s)
