2023-06-19 20:45:07,815 INFO  - Initialize application (at simulation time 8.000,000,000 s)
2023-06-19 20:45:07,816 INFO  - Activated WLAN Module (at simulation time 8.000,000,000 s)
2023-06-19 20:45:07,821 INFO  - VEHICLE:veh_0 (at simulation time 8.012,060,577 s)
2023-06-19 20:45:07,821 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.012,060,577 s)
2023-06-19 20:45:07,821 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.012,060,577 s)
2023-06-19 20:45:07,821 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512264,lon=13.318695,alt=0.00} (at simulation time 8.012,060,577 s)
2023-06-19 20:45:07,823 INFO  - VEHICLE:veh_0 (at simulation time 8.137,835,356 s)
2023-06-19 20:45:07,823 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.137,835,356 s)
2023-06-19 20:45:07,823 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.137,835,356 s)
2023-06-19 20:45:07,823 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512264,lon=13.318695,alt=0.00} (at simulation time 8.137,835,356 s)
2023-06-19 20:45:07,825 INFO  - VEHICLE:veh_0 (at simulation time 8.273,018,608 s)
2023-06-19 20:45:07,825 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.273,018,608 s)
2023-06-19 20:45:07,825 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.273,018,608 s)
2023-06-19 20:45:07,825 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512264,lon=13.318695,alt=0.00} (at simulation time 8.273,018,608 s)
2023-06-19 20:45:07,827 INFO  - VEHICLE:veh_0 (at simulation time 8.306,109,118 s)
2023-06-19 20:45:07,827 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.306,109,118 s)
2023-06-19 20:45:07,827 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.306,109,118 s)
2023-06-19 20:45:07,827 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512264,lon=13.318695,alt=0.00} (at simulation time 8.306,109,118 s)
2023-06-19 20:45:07,829 INFO  - VEHICLE:veh_0 (at simulation time 8.401,019,585 s)
2023-06-19 20:45:07,830 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.401,019,585 s)
2023-06-19 20:45:07,830 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.401,019,585 s)
2023-06-19 20:45:07,830 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512264,lon=13.318695,alt=0.00} (at simulation time 8.401,019,585 s)
2023-06-19 20:45:07,831 INFO  - VEHICLE:veh_0 (at simulation time 8.541,974,396 s)
2023-06-19 20:45:07,831 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.541,974,396 s)
2023-06-19 20:45:07,831 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.541,974,396 s)
2023-06-19 20:45:07,832 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512264,lon=13.318695,alt=0.00} (at simulation time 8.541,974,396 s)
2023-06-19 20:45:07,833 INFO  - VEHICLE:veh_0 (at simulation time 8.640,177,854 s)
2023-06-19 20:45:07,833 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.640,177,854 s)
2023-06-19 20:45:07,833 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.640,177,854 s)
2023-06-19 20:45:07,833 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512264,lon=13.318695,alt=0.00} (at simulation time 8.640,177,854 s)
2023-06-19 20:45:07,835 INFO  - VEHICLE:veh_0 (at simulation time 8.799,257,086 s)
2023-06-19 20:45:07,835 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.799,257,086 s)
2023-06-19 20:45:07,835 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.799,257,086 s)
2023-06-19 20:45:07,835 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512264,lon=13.318695,alt=0.00} (at simulation time 8.799,257,086 s)
2023-06-19 20:45:07,836 INFO  - VEHICLE:veh_0 (at simulation time 8.810,873,706 s)
2023-06-19 20:45:07,836 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.810,873,706 s)
2023-06-19 20:45:07,836 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.810,873,706 s)
2023-06-19 20:45:07,836 INFO  - FORGED SIDE GEOLOCATION: GeoPoint{lat=52.512264,lon=13.318695,alt=0.00} (at simulation time 8.810,873,706 s)
2023-06-19 20:45:07,839 INFO  - VEHICLE:veh_0 (at simulation time 8.974,702,315 s)
2023-06-19 20:45:07,839 INFO  - GEOLOCATION:GeoPoint{lat=52.512222,lon=13.318512,alt=0.00} (at simulation time 8.974,702,315 s)
2023-06-19 20:45:07,839 INFO  - REAL GEOLOCATION: GeoPoint{lat=52.512138,lon=13.317319,alt=0.00} (at simulation time 8.974,702,315 s)
